run_id,seed_idx,global_seed,benchmark,arch,lambda_val,weight_decay,total_steps,final_id_acc,final_ood_acc,max_ood_acc,spontaneous_escape,status
anti_grokking_wd0.0_s0,0,7,hbar,transformer_2l,0.0,0.0,20000,94.2,35.45,39.77,False,PASS
anti_grokking_wd0.0_s1,1,49,hbar,transformer_2l,0.0,0.0,20000,94.77,38.16,41.33,False,PASS
anti_grokking_wd0.0_s2,2,91,hbar,transformer_2l,0.0,0.0,20000,94.32,36.51,40.97,False,PASS
anti_grokking_wd0.0_s3,3,133,hbar,transformer_2l,0.0,0.0,20000,92.8,34.94,38.03,False,PASS
anti_grokking_wd0.0_s4,4,175,hbar,transformer_2l,0.0,0.0,20000,94.88,35.02,37.24,False,PASS
anti_grokking_wd0.0_s5,5,217,hbar,transformer_2l,0.0,0.0,20000,93.11,33.09,37.28,False,PASS
anti_grokking_wd0.0_s6,6,259,hbar,transformer_2l,0.0,0.0,20000,96.04,35.9,39.81,False,PASS
anti_grokking_wd0.0_s7,7,301,hbar,transformer_2l,0.0,0.0,20000,94.6,30.66,33.71,False,PASS
anti_grokking_wd0.0_s8,8,343,hbar,transformer_2l,0.0,0.0,20000,94.65,36.99,39.79,False,PASS
anti_grokking_wd0.0_s9,9,385,hbar,transformer_2l,0.0,0.0,20000,94.79,36.39,38.91,False,PASS
anti_grokking_wd0.01_s0,0,7,hbar,transformer_2l,0.0,0.01,20000,95.33,35.55,39.22,False,PASS
anti_grokking_wd0.01_s1,1,49,hbar,transformer_2l,0.0,0.01,20000,93.22,38.71,41.06,False,PASS
anti_grokking_wd0.01_s2,2,91,hbar,transformer_2l,0.0,0.01,20000,93.44,29.62,33.97,False,PASS
anti_grokking_wd0.01_s3,3,133,hbar,transformer_2l,0.0,0.01,20000,93.11,38.22,41.73,False,PASS
anti_grokking_wd0.01_s4,4,175,hbar,transformer_2l,0.0,0.01,20000,95.66,35.29,38.38,False,PASS
anti_grokking_wd0.01_s5,5,217,hbar,transformer_2l,0.0,0.01,20000,96.43,36.63,39.15,False,PASS
anti_grokking_wd0.01_s6,6,259,hbar,transformer_2l,0.0,0.01,20000,95.08,33.09,35.82,False,PASS
anti_grokking_wd0.01_s7,7,301,hbar,transformer_2l,0.0,0.01,20000,94.66,36.51,40.43,False,PASS
anti_grokking_wd0.01_s8,8,343,hbar,transformer_2l,0.0,0.01,20000,94.9,33.34,37.55,False,PASS
anti_grokking_wd0.01_s9,9,385,hbar,transformer_2l,0.0,0.01,20000,93.59,35.35,40.02,False,PASS
anti_grokking_wd0.1_s0,0,7,hbar,transformer_2l,0.0,0.1,20000,94.88,30.03,33.54,False,PASS
anti_grokking_wd0.1_s1,1,49,hbar,transformer_2l,0.0,0.1,20000,96.17,34.53,37.19,False,PASS
anti_grokking_wd0.1_s2,2,91,hbar,transformer_2l,0.0,0.1,20000,95.28,33.61,35.92,False,PASS
anti_grokking_wd0.1_s3,3,133,hbar,transformer_2l,0.0,0.1,20000,95.91,37.99,40.33,False,PASS
anti_grokking_wd0.1_s4,4,175,hbar,transformer_2l,0.0,0.1,20000,93.78,38.28,40.37,False,PASS
anti_grokking_wd0.1_s5,5,217,hbar,transformer_2l,0.0,0.1,20000,93.7,33.3,38.25,False,PASS
anti_grokking_wd0.1_s6,6,259,hbar,transformer_2l,0.0,0.1,20000,95.07,32.71,37.15,False,PASS
anti_grokking_wd0.1_s7,7,301,hbar,transformer_2l,0.0,0.1,20000,93.65,35.0,37.18,False,PASS
anti_grokking_wd0.1_s8,8,343,hbar,transformer_2l,0.0,0.1,20000,96.01,37.75,41.8,False,PASS
anti_grokking_wd0.1_s9,9,385,hbar,transformer_2l,0.0,0.1,20000,94.88,34.93,38.65,False,PASS
