run_id,benchmark,arch,condition,seed_idx,global_seed,token_budget,dose_response_k,final_id_acc,final_ood_acc,escaped,status
data_aug_hbar_s0,hbar,transformer_2l,matched_data_augmentation,0,7,20M,3.2,94.4,72.46,False,PASS
data_aug_hbar_s1,hbar,transformer_2l,matched_data_augmentation,1,49,20M,3.2,95.44,78.21,False,PASS
data_aug_hbar_s2,hbar,transformer_2l,matched_data_augmentation,2,91,20M,3.2,94.73,77.05,False,PASS
data_aug_hbar_s3,hbar,transformer_2l,matched_data_augmentation,3,133,20M,3.2,95.23,82.65,True,PASS
data_aug_hbar_s4,hbar,transformer_2l,matched_data_augmentation,4,175,20M,3.2,93.52,83.02,True,PASS
data_aug_hbar_s5,hbar,transformer_2l,matched_data_augmentation,5,217,20M,3.2,93.46,76.64,False,PASS
data_aug_hbar_s6,hbar,transformer_2l,matched_data_augmentation,6,259,20M,3.2,94.55,75.88,False,PASS
data_aug_hbar_s7,hbar,transformer_2l,matched_data_augmentation,7,301,20M,3.2,93.42,78.82,False,PASS
data_aug_hbar_s8,hbar,transformer_2l,matched_data_augmentation,8,343,20M,3.2,95.31,82.33,True,PASS
data_aug_hbar_s9,hbar,transformer_2l,matched_data_augmentation,9,385,20M,3.2,94.4,78.73,False,PASS
data_aug_hbar_s10,hbar,transformer_2l,matched_data_augmentation,10,427,20M,3.2,93.98,75.77,False,PASS
data_aug_hbar_s11,hbar,transformer_2l,matched_data_augmentation,11,469,20M,3.2,93.61,75.15,False,PASS
data_aug_hbar_s12,hbar,transformer_2l,matched_data_augmentation,12,511,20M,3.2,95.04,80.25,True,PASS
data_aug_hbar_s13,hbar,transformer_2l,matched_data_augmentation,13,553,20M,3.2,94.24,82.59,True,PASS
data_aug_hbar_s14,hbar,transformer_2l,matched_data_augmentation,14,595,20M,3.2,94.56,75.48,False,PASS
data_aug_hbar_s15,hbar,transformer_2l,matched_data_augmentation,15,637,20M,3.2,93.04,76.78,False,PASS
data_aug_hbar_s16,hbar,transformer_2l,matched_data_augmentation,16,679,20M,3.2,94.28,78.47,False,PASS
data_aug_hbar_s17,hbar,transformer_2l,matched_data_augmentation,17,721,20M,3.2,93.93,80.67,True,PASS
data_aug_hbar_s18,hbar,transformer_2l,matched_data_augmentation,18,763,20M,3.2,93.88,77.84,False,PASS
data_aug_hbar_s19,hbar,transformer_2l,matched_data_augmentation,19,805,20M,3.2,93.08,80.72,True,PASS
data_aug_hbar_s20,hbar,transformer_2l,matched_data_augmentation,20,847,20M,3.2,94.43,77.28,False,PASS
data_aug_hbar_s21,hbar,transformer_2l,matched_data_augmentation,21,889,20M,3.2,94.78,78.43,False,PASS
data_aug_hbar_s22,hbar,transformer_2l,matched_data_augmentation,22,931,20M,3.2,93.48,79.56,False,PASS
data_aug_hbar_s23,hbar,transformer_2l,matched_data_augmentation,23,973,20M,3.2,93.71,80.92,True,PASS
data_aug_hbar_s24,hbar,transformer_2l,matched_data_augmentation,24,1015,20M,3.2,92.97,79.6,False,PASS
data_aug_hbar_s25,hbar,transformer_2l,matched_data_augmentation,25,1057,20M,3.2,94.78,81.33,True,PASS
data_aug_hbar_s26,hbar,transformer_2l,matched_data_augmentation,26,1099,20M,3.2,93.31,77.21,False,PASS
data_aug_hbar_s27,hbar,transformer_2l,matched_data_augmentation,27,1141,20M,3.2,92.64,83.81,True,PASS
