run_id,benchmark,split,arch,tier,lambda_val,lambda_regime,seed_idx,global_seed,final_id_acc,final_ood_acc,escaped,mean_whitened_gca,top_hessian_eig,status
dense_grid_hbar_lam_0.000_s0,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,0,7,95.7227,57.0951,False,0.001,3.011208269336844e-05,PASS
dense_grid_hbar_lam_0.000_s1,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,1,49,96.7,35.21,False,0.001,2.7840026037994637e-05,PASS
dense_grid_hbar_lam_0.000_s2,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,2,91,94.6411,63.8133,False,0.001,2.9213264982058305e-05,PASS
dense_grid_hbar_lam_0.000_s3,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,3,133,93.529,54.8182,False,0.001,3.754643058940807e-05,PASS
dense_grid_hbar_lam_0.000_s4,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,4,175,94.2093,68.283,False,0.001,1.6132708893969913e-05,PASS
dense_grid_hbar_lam_0.000_s5,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,5,217,94.9532,51.8442,False,0.001,3.218734847821378e-05,PASS
dense_grid_hbar_lam_0.000_s6,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,6,259,94.8374,76.118,False,0.001,1.904054321266173e-05,PASS
dense_grid_hbar_lam_0.000_s7,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,7,301,92.5474,65.8375,False,0.001,2.4022793531527232e-05,PASS
dense_grid_hbar_lam_0.000_s8,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,8,343,90.9229,56.9147,False,0.001,3.691552705292013e-05,PASS
dense_grid_hbar_lam_0.000_s9,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,9,385,94.0557,73.4647,False,0.001,2.524900884189956e-05,PASS
dense_grid_hbar_lam_0.000_s10,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,10,427,89.7041,60.4166,False,0.001,1.871557610003342e-05,PASS
dense_grid_hbar_lam_0.000_s11,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,11,469,93.6462,47.0167,False,0.001,1.21500599553671e-05,PASS
dense_grid_hbar_lam_0.000_s12,hbar,split_b_recursion_depth,transformer_2l,tier_1_dense_grid,0.0,subcritical,12,511,93.7434,51.0079,False,0.001,3.1733855929863704e-05,PASS
