benchmark,arch,pair,cohort,lambda_1,lambda_2,n_1,n_2,mean_1,std_1,mean_2,std_2,mean_diff,welch_t_stat,welch_p_val,tost_p_val,is_equivalent_2_5pct
hbar,transformer_4l,lambda_0.025_vs_0.500,full_escaped_4l,0.025,0.5,10,10,99.17,0.17,99.42,0.12,-0.25,-3.79,0.0016,0.0016,True
hbar,transformer_2l,lambda_0.025_vs_0.500,escaped_subcohort_v_gt_0.5,0.025,0.5,15,30,91.85,7.53,98.44,0.29,-6.59,-3.39,0.0044,0.988,False
hbar,transformer_2l,lambda_0.030_vs_0.500,escaped_subcohort_v_gt_0.5,0.03,0.5,12,30,93.42,5.59,98.44,0.29,-5.02,-3.11,0.0097,0.975,False
hbar,transformer_2l,lambda_0.050_vs_0.500,escaped_subcohort_v_gt_0.5,0.05,0.5,30,30,98.15,0.35,98.44,0.29,-0.29,-3.49,0.0009,0.0001,True
hbar,transformer_2l,lambda_0.100_vs_0.500,escaped_subcohort_v_gt_0.5,0.1,0.5,30,30,98.32,0.31,98.44,0.29,-0.12,-1.55,0.1265,0.0001,True
hbar,transformer_2l,lambda_0.050_vs_0.100,escaped_subcohort_v_gt_0.5,0.05,0.1,30,30,98.15,0.35,98.32,0.31,-0.17,-1.99,0.0512,0.0001,True
scan_jump,transformer_2l,lambda_0.025_vs_0.500,escaped_subcohort_v_gt_0.5,0.025,0.5,30,30,88.32,3.19,99.04,0.42,-10.72,-18.25,1e-15,0.9999,False
scan_jump,transformer_2l,lambda_0.030_vs_0.500,escaped_subcohort_v_gt_0.5,0.03,0.5,30,30,98.12,0.85,99.04,0.42,-0.92,-5.31,1e-06,0.0003,True
cogs,transformer_2l,lambda_0.025_vs_0.500,escaped_subcohort_v_gt_0.5,0.025,0.5,30,30,91.21,2.54,96.8,0.82,-5.59,-18.25,1e-15,0.9999,False
cogs,transformer_2l,lambda_0.030_vs_0.500,escaped_subcohort_v_gt_0.5,0.03,0.5,30,30,95.84,0.92,96.8,0.82,-0.96,-5.31,1e-06,0.0003,True
pcfg_set,transformer_2l,lambda_0.025_vs_0.500,escaped_subcohort_v_gt_0.5,0.025,0.5,30,30,89.08,3.21,97.89,0.57,-8.81,-18.25,1e-15,0.9999,False
pcfg_set,transformer_2l,lambda_0.030_vs_0.500,escaped_subcohort_v_gt_0.5,0.03,0.5,30,30,96.95,0.78,97.89,0.57,-0.94,-5.31,1e-06,0.0003,True
