benchmark,arch,lambda_val,lambda_regime,n_seeds,mean_lambda_max_hessian,std_lambda_max_hessian,max_lambda_max_hessian,eos_ceiling_2_over_eta,below_eos_ceiling,basin_type
cogs,gru_baseline,0.0,subcritical,10,5.09426776997157e-07,1.1578609872339418e-06,3.731536304232946e-06,2000.0,True,shortcut_basin_Es
cogs,gru_baseline,0.025,boundary,10,2.789481012129214e-07,5.522027331290884e-07,1.7975729524692743e-06,2000.0,True,coherent_basin_Ec
cogs,gru_baseline,0.5,supercritical,10,1.7599774646448803e-07,3.712378240728026e-07,9.059639876402786e-07,2000.0,True,coherent_basin_Ec
cogs,transformer_2l,0.0,subcritical,30,0.0001595453594933569,5.891332690449929e-05,0.0002560514853517,2000.0,True,shortcut_basin_Es
cogs,transformer_2l,0.015,subcritical,30,0.00012697077794402375,3.922584398795552e-05,0.0001953749209475,2000.0,True,shortcut_basin_Es
cogs,transformer_2l,0.02,boundary,30,0.00012495518994222823,3.575923164007802e-05,0.0001912348974196,2000.0,True,shortcut_basin_Es
cogs,transformer_2l,0.025,boundary,30,0.0001714434367200923,4.7133954120417775e-05,0.0002865227905442,2000.0,True,coherent_basin_Ec
cogs,transformer_2l,0.03,boundary,30,0.00022641822526045998,6.186277459693012e-05,0.0003476401623911,2000.0,True,coherent_basin_Ec
cogs,transformer_2l,0.5,supercritical,30,0.0002366983195108611,7.783060532699496e-05,0.0004150869442919,2000.0,True,coherent_basin_Ec
cogs,transformer_4l_scaled,0.0,subcritical,10,0.00059202302114808,0.00013494764945040777,0.0009000862965908,2000.0,True,shortcut_basin_Es
cogs,transformer_4l_scaled,0.025,boundary,10,0.0013364235975836,0.00040681362407578954,0.0019262927763679,2000.0,True,coherent_basin_Ec
cogs,transformer_4l_scaled,0.5,supercritical,10,0.11488871789651364,0.042737688545460284,0.1826096385660506,2000.0,True,coherent_basin_Ec
hbar,gru_baseline,0.0,subcritical,10,4.907157209022979e-07,4.4216573413184235e-07,1.2971607337603254e-06,2000.0,True,shortcut_basin_Es
hbar,gru_baseline,0.025,boundary,10,3.216106611181644e-07,6.509536387351225e-07,2.0381957270403595e-06,2000.0,True,coherent_basin_Ec
hbar,gru_baseline,0.5,supercritical,10,3.000807475933245e-07,3.746006424423033e-07,8.931081543887472e-07,2000.0,True,coherent_basin_Ec
hbar,transformer_2l,0.0,subcritical,30,2.5864876883202086e-05,8.632178055739425e-06,4.569630980748253e-05,2000.0,True,shortcut_basin_Es
hbar,transformer_2l,0.015,subcritical,30,2.9414402832353263e-05,9.490077352479643e-06,5.303577868432554e-05,2000.0,True,shortcut_basin_Es
hbar,transformer_2l,0.02,boundary,30,2.5726043840502643e-05,5.8373172743671835e-06,3.806540468668608e-05,2000.0,True,shortcut_basin_Es
hbar,transformer_2l,0.025,boundary,30,2.7471100434241068e-05,7.985511881813479e-06,4.330175562108419e-05,2000.0,True,coherent_basin_Ec
hbar,transformer_2l,0.03,boundary,30,2.59321269550958e-05,6.978007673245922e-06,4.259247768380099e-05,2000.0,True,coherent_basin_Ec
hbar,transformer_2l,0.5,supercritical,30,2.9207751680487826e-05,8.44400218553411e-06,4.435820085131206e-05,2000.0,True,coherent_basin_Ec
hbar,transformer_4l_scaled,0.0,subcritical,10,0.00056418518453121,0.00022728859431125366,0.0009308199604248,2000.0,True,shortcut_basin_Es
hbar,transformer_4l_scaled,0.025,boundary,10,0.00146123465933087,0.0005239732112672093,0.002393787692892,2000.0,True,coherent_basin_Ec
