benchmark,arch,parameter,fitted_threshold,fitted_steepness_k,r_squared,is_sharp_phase_transition
cogs,gru_baseline,lambda_crit,0.0,0.0,0.0,False
cogs,transformer_2l,lambda_crit,0.01919080244109835,299.99999999999994,0.9350768150500912,True
cogs,transformer_4l_scaled,lambda_crit,0.0,0.0,0.0,False
hbar,gru_baseline,lambda_crit,0.0,0.0,0.0,False
hbar,transformer_2l,lambda_crit,0.023772104455935906,79.47886247036655,0.8868167943299129,True
hbar,transformer_4l_scaled,lambda_crit,0.0,0.0,0.0,False
pcfg_set,gru_baseline,lambda_crit,0.0,0.0,0.0,False
pcfg_set,transformer_2l,lambda_crit,0.021997145725447177,299.99999999999994,0.8829648950205894,True
pcfg_set,transformer_4l_scaled,lambda_crit,0.0,0.0,0.0,False
scan_jump,gru_baseline,lambda_crit,0.0,0.0,0.0,False
scan_jump,transformer_2l,lambda_crit,0.02249914155499241,299.99999999999994,0.8506419766750277,True
scan_jump,transformer_4l_scaled,lambda_crit,0.0,0.0,0.0,False
