run_id,seed_idx,global_seed,benchmark,intervention_step,current_step,delta_step,lambda_pre,lambda_post,final_ood_acc,final_id_acc,recovered,status
late_onset_s0_t1000,0,7,hbar,1000,1000,0,0.0,0.05,38.2,94.25,False,PASS
late_onset_s0_t1050,0,7,hbar,1000,1050,50,0.0,0.05,53.2,93.65,False,PASS
late_onset_s0_t1100,0,7,hbar,1000,1100,100,0.0,0.05,74.54,93.6,False,PASS
late_onset_s0_t1150,0,7,hbar,1000,1150,150,0.0,0.05,88.66,94.77,True,PASS
late_onset_s0_t1200,0,7,hbar,1000,1200,200,0.0,0.05,95.79,93.79,True,PASS
late_onset_s0_t1250,0,7,hbar,1000,1250,250,0.0,0.05,98.51,94.15,True,PASS
late_onset_s1_t1000,1,49,hbar,1000,1000,0,0.0,0.05,39.36,94.79,False,PASS
late_onset_s1_t1050,1,49,hbar,1000,1050,50,0.0,0.05,54.88,93.34,False,PASS
late_onset_s1_t1100,1,49,hbar,1000,1100,100,0.0,0.05,77.4,94.15,False,PASS
late_onset_s1_t1150,1,49,hbar,1000,1150,150,0.0,0.05,86.97,93.28,True,PASS
late_onset_s1_t1200,1,49,hbar,1000,1200,200,0.0,0.05,96.14,93.14,True,PASS
late_onset_s1_t1250,1,49,hbar,1000,1250,250,0.0,0.05,98.4,95.32,True,PASS
late_onset_s2_t1000,2,91,hbar,1000,1000,0,0.0,0.05,38.45,94.46,False,PASS
late_onset_s2_t1050,2,91,hbar,1000,1050,50,0.0,0.05,49.8,93.85,False,PASS
late_onset_s2_t1100,2,91,hbar,1000,1100,100,0.0,0.05,79.77,93.99,False,PASS
late_onset_s2_t1150,2,91,hbar,1000,1150,150,0.0,0.05,87.71,93.98,True,PASS
late_onset_s2_t1200,2,91,hbar,1000,1200,200,0.0,0.05,95.68,93.8,True,PASS
late_onset_s2_t1250,2,91,hbar,1000,1250,250,0.0,0.05,98.62,94.14,True,PASS
late_onset_s3_t1000,3,133,hbar,1000,1000,0,0.0,0.05,35.35,94.15,False,PASS
late_onset_s3_t1050,3,133,hbar,1000,1050,50,0.0,0.05,50.48,93.49,False,PASS
late_onset_s3_t1100,3,133,hbar,1000,1100,100,0.0,0.05,84.02,94.49,True,PASS
late_onset_s3_t1150,3,133,hbar,1000,1150,150,0.0,0.05,85.96,93.15,True,PASS
late_onset_s3_t1200,3,133,hbar,1000,1200,200,0.0,0.05,97.12,94.66,True,PASS
late_onset_s3_t1250,3,133,hbar,1000,1250,250,0.0,0.05,98.25,94.69,True,PASS
late_onset_s4_t1000,4,175,hbar,1000,1000,0,0.0,0.05,39.59,94.16,False,PASS
late_onset_s4_t1050,4,175,hbar,1000,1050,50,0.0,0.05,58.17,93.9,False,PASS
late_onset_s4_t1100,4,175,hbar,1000,1100,100,0.0,0.05,89.31,94.31,True,PASS
late_onset_s4_t1150,4,175,hbar,1000,1150,150,0.0,0.05,86.23,94.48,True,PASS
