run_id,benchmark,arch,condition,lambda_val,epsilon_noise,epsilon_crit,seed_idx,global_seed,final_id_acc,final_ood_acc,escaped,status
pairing_noise_eps_0.00_s0,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,0,7,93.81,98.88,True,PASS
pairing_noise_eps_0.00_s1,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,1,49,93.76,98.72,True,PASS
pairing_noise_eps_0.00_s2,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,2,91,94.49,98.12,True,PASS
pairing_noise_eps_0.00_s3,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,3,133,92.94,98.47,True,PASS
pairing_noise_eps_0.00_s4,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,4,175,93.6,98.01,True,PASS
pairing_noise_eps_0.00_s5,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,5,217,94.64,98.28,True,PASS
pairing_noise_eps_0.00_s6,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,6,259,93.9,98.88,True,PASS
pairing_noise_eps_0.00_s7,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,7,301,93.53,98.26,True,PASS
pairing_noise_eps_0.00_s8,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,8,343,93.18,98.53,True,PASS
pairing_noise_eps_0.00_s9,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,9,385,93.8,98.24,True,PASS
pairing_noise_eps_0.00_s10,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,10,427,94.48,98.15,True,PASS
pairing_noise_eps_0.00_s11,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,11,469,95.25,98.45,True,PASS
pairing_noise_eps_0.00_s12,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,12,511,93.57,98.53,True,PASS
pairing_noise_eps_0.00_s13,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,13,553,94.33,98.69,True,PASS
pairing_noise_eps_0.00_s14,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,14,595,95.7,98.49,True,PASS
pairing_noise_eps_0.00_s15,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,15,637,94.68,98.1,True,PASS
pairing_noise_eps_0.00_s16,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,16,679,93.72,98.13,True,PASS
pairing_noise_eps_0.00_s17,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,17,721,93.38,98.29,True,PASS
pairing_noise_eps_0.00_s18,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,18,763,96.1,98.6,True,PASS
pairing_noise_eps_0.00_s19,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,19,805,92.28,98.05,True,PASS
pairing_noise_eps_0.00_s20,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,20,847,93.73,98.33,True,PASS
pairing_noise_eps_0.00_s21,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,21,889,94.49,98.34,True,PASS
pairing_noise_eps_0.00_s22,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,22,931,93.7,98.37,True,PASS
pairing_noise_eps_0.00_s23,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,23,973,94.29,98.19,True,PASS
pairing_noise_eps_0.00_s24,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,24,1015,93.45,98.4,True,PASS
pairing_noise_eps_0.00_s25,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,25,1057,95.21,98.15,True,PASS
pairing_noise_eps_0.00_s26,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,26,1099,93.91,98.5,True,PASS
pairing_noise_eps_0.00_s27,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,27,1141,92.78,98.28,True,PASS
pairing_noise_eps_0.00_s28,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,28,1183,93.99,98.43,True,PASS
pairing_noise_eps_0.00_s29,hbar,transformer_2l,pairing_noise_sweep,0.05,0.0,0.5,29,1225,93.96,98.5,True,PASS
pairing_noise_eps_0.05_s0,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,0,7,94.76,98.02,True,PASS
pairing_noise_eps_0.05_s1,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,1,49,93.18,97.88,True,PASS
pairing_noise_eps_0.05_s2,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,2,91,94.81,98.21,True,PASS
pairing_noise_eps_0.05_s3,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,3,133,92.64,97.55,True,PASS
pairing_noise_eps_0.05_s4,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,4,175,93.71,97.33,True,PASS
pairing_noise_eps_0.05_s5,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,5,217,94.6,97.97,True,PASS
pairing_noise_eps_0.05_s6,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,6,259,94.76,98.43,True,PASS
pairing_noise_eps_0.05_s7,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,7,301,94.8,98.49,True,PASS
pairing_noise_eps_0.05_s8,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,8,343,94.84,98.01,True,PASS
pairing_noise_eps_0.05_s9,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,9,385,94.06,97.92,True,PASS
pairing_noise_eps_0.05_s10,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,10,427,95.47,97.95,True,PASS
pairing_noise_eps_0.05_s11,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,11,469,93.45,98.24,True,PASS
pairing_noise_eps_0.05_s12,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,12,511,95.29,97.96,True,PASS
pairing_noise_eps_0.05_s13,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,13,553,95.42,97.78,True,PASS
pairing_noise_eps_0.05_s14,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,14,595,94.94,98.02,True,PASS
pairing_noise_eps_0.05_s15,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,15,637,94.58,97.73,True,PASS
pairing_noise_eps_0.05_s16,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,16,679,94.52,98.57,True,PASS
pairing_noise_eps_0.05_s17,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,17,721,93.66,98.45,True,PASS
pairing_noise_eps_0.05_s18,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,18,763,94.34,98.12,True,PASS
pairing_noise_eps_0.05_s19,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,19,805,93.04,97.69,True,PASS
pairing_noise_eps_0.05_s20,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,20,847,95.25,98.25,True,PASS
pairing_noise_eps_0.05_s21,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,21,889,93.82,98.35,True,PASS
pairing_noise_eps_0.05_s22,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,22,931,96.06,98.32,True,PASS
pairing_noise_eps_0.05_s23,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,23,973,93.7,98.02,True,PASS
pairing_noise_eps_0.05_s24,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,24,1015,93.34,97.5,True,PASS
pairing_noise_eps_0.05_s25,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,25,1057,94.36,98.05,True,PASS
pairing_noise_eps_0.05_s26,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,26,1099,93.19,98.21,True,PASS
pairing_noise_eps_0.05_s27,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,27,1141,94.24,98.27,True,PASS
pairing_noise_eps_0.05_s28,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,28,1183,94.26,97.5,True,PASS
pairing_noise_eps_0.05_s29,hbar,transformer_2l,pairing_noise_sweep,0.05,0.05,0.5,29,1225,95.38,97.9,True,PASS
pairing_noise_eps_0.10_s0,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,0,7,93.89,97.47,True,PASS
pairing_noise_eps_0.10_s1,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,1,49,94.89,97.15,True,PASS
pairing_noise_eps_0.10_s2,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,2,91,93.39,97.05,True,PASS
pairing_noise_eps_0.10_s3,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,3,133,93.44,97.92,True,PASS
pairing_noise_eps_0.10_s4,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,4,175,94.19,97.59,True,PASS
pairing_noise_eps_0.10_s5,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,5,217,94.33,97.67,True,PASS
pairing_noise_eps_0.10_s6,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,6,259,95.33,97.57,True,PASS
pairing_noise_eps_0.10_s7,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,7,301,93.37,97.22,True,PASS
pairing_noise_eps_0.10_s8,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,8,343,93.67,97.3,True,PASS
pairing_noise_eps_0.10_s9,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,9,385,92.29,97.65,True,PASS
pairing_noise_eps_0.10_s10,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,10,427,94.35,97.95,True,PASS
pairing_noise_eps_0.10_s11,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,11,469,95.16,97.86,True,PASS
pairing_noise_eps_0.10_s12,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,12,511,95.23,97.83,True,PASS
pairing_noise_eps_0.10_s13,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,13,553,94.97,97.52,True,PASS
pairing_noise_eps_0.10_s14,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,14,595,93.0,96.54,True,PASS
pairing_noise_eps_0.10_s15,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,15,637,94.1,97.77,True,PASS
pairing_noise_eps_0.10_s16,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,16,679,92.95,98.89,True,PASS
pairing_noise_eps_0.10_s17,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,17,721,93.99,96.93,True,PASS
pairing_noise_eps_0.10_s18,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,18,763,93.32,97.74,True,PASS
pairing_noise_eps_0.10_s19,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,19,805,93.07,96.83,True,PASS
pairing_noise_eps_0.10_s20,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,20,847,93.36,97.71,True,PASS
pairing_noise_eps_0.10_s21,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,21,889,94.01,97.92,True,PASS
pairing_noise_eps_0.10_s22,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,22,931,94.73,96.77,True,PASS
pairing_noise_eps_0.10_s23,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,23,973,95.06,97.23,True,PASS
pairing_noise_eps_0.10_s24,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,24,1015,95.26,98.11,True,PASS
pairing_noise_eps_0.10_s25,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,25,1057,92.93,97.16,True,PASS
pairing_noise_eps_0.10_s26,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,26,1099,93.56,96.81,True,PASS
pairing_noise_eps_0.10_s27,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,27,1141,93.52,97.74,True,PASS
pairing_noise_eps_0.10_s28,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,28,1183,93.65,96.97,True,PASS
pairing_noise_eps_0.10_s29,hbar,transformer_2l,pairing_noise_sweep,0.05,0.1,0.5,29,1225,94.0,97.93,True,PASS
pairing_noise_eps_0.20_s0,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,0,7,93.99,94.37,True,PASS
pairing_noise_eps_0.20_s1,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,1,49,95.18,96.23,True,PASS
pairing_noise_eps_0.20_s2,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,2,91,93.88,96.84,True,PASS
pairing_noise_eps_0.20_s3,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,3,133,94.93,94.98,True,PASS
pairing_noise_eps_0.20_s4,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,4,175,92.09,97.3,True,PASS
pairing_noise_eps_0.20_s5,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,5,217,95.06,97.36,True,PASS
pairing_noise_eps_0.20_s6,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,6,259,95.05,95.46,True,PASS
pairing_noise_eps_0.20_s7,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,7,301,94.85,96.39,True,PASS
pairing_noise_eps_0.20_s8,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,8,343,93.29,96.85,True,PASS
pairing_noise_eps_0.20_s9,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,9,385,95.0,96.65,True,PASS
pairing_noise_eps_0.20_s10,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,10,427,94.8,95.5,True,PASS
pairing_noise_eps_0.20_s11,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,11,469,93.61,97.81,True,PASS
pairing_noise_eps_0.20_s12,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,12,511,92.6,96.65,True,PASS
pairing_noise_eps_0.20_s13,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,13,553,94.96,97.91,True,PASS
pairing_noise_eps_0.20_s14,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,14,595,94.26,97.81,True,PASS
pairing_noise_eps_0.20_s15,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,15,637,94.13,96.88,True,PASS
pairing_noise_eps_0.20_s16,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,16,679,93.57,94.12,True,PASS
pairing_noise_eps_0.20_s17,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,17,721,92.6,96.33,True,PASS
pairing_noise_eps_0.20_s18,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,18,763,94.6,97.1,True,PASS
pairing_noise_eps_0.20_s19,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,19,805,93.01,96.86,True,PASS
pairing_noise_eps_0.20_s20,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,20,847,94.02,97.76,True,PASS
pairing_noise_eps_0.20_s21,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,21,889,95.39,95.43,True,PASS
pairing_noise_eps_0.20_s22,hbar,transformer_2l,pairing_noise_sweep,0.05,0.2,0.5,22,931,94.56,97.16,True,PASS
