benchmark,arch,pair,lambda_1,lambda_2,mean_diff,welch_t_stat,welch_p_val,tost_p_val,is_equivalent_2_5pct,welch_p_holm,welch_p_fdr_bh
cogs,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,-2.249459033196189,-1.4151597606168835,0.18170309797779602,0.4386508343082697,False,0.36340619595559204,0.1912664189239958
cogs,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-2.266599834634988,-3.674401786677043,0.0005278931426839253,0.3532811057340881,False,0.0036952519987874773,0.0007541330609770362
cogs,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-5.595524179384753,-11.488696445670017,1.9672296322020377e-13,0.9999998688592453,False,3.1475674115232603e-12,7.868918528808151e-13
cogs,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-3.3289243447497654,-7.668896609695928,3.883368899770033e-09,0.9679926337115727,False,5.4367164596780463e-08,1.1095339713628666e-08
cogs,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,-2.7857102195105767,-3.1976388148641584,0.009013874560051677,0.6252951495354466,False,0.03605549824020671,0.01060455830594315
hbar,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,17.548069810041568,7.066954315038044,1.4154237899328734e-06,1.1225767715394852e-07,False,1.4154237899328735e-05,2.5734977998779515e-06
hbar,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,0.5309820251680719,0.09488573909671265,0.9247337735300077,0.29507687052023224,False,0.9247337735300077,0.9247337735300077
hbar,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-25.426147941011465,-6.24405032235908,8.159986267687367e-07,0.9999977959686166,False,8.975984894456104e-06,1.6319972535374734e-06
hbar,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-25.957129966179536,-6.761071321372226,2.017930128072046e-07,0.9999994115887867,False,2.421516153686455e-06,4.4842891734934353e-07
hbar,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,-0.2509800898865535,-3.7709776043045453,0.001614259871595971,1.1102230246251565e-16,True,0.009685559229575827,0.0021523464954612947
pcfg_set,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,-6.175481327075261,-3.604960496076199,0.0020981497042811127,0.9769067647651142,False,0.010490748521405564,0.002622687130351391
pcfg_set,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-3.561047987916851,-5.396052756547648,2.640999067624716e-06,0.942453315537726,False,2.1127992540997727e-05,4.063075488653409e-06
pcfg_set,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-8.811636687280554,-14.821091091847395,1.4538629020052785e-15,0.9999999999959326,False,2.4715669334089735e-14,7.269314510026393e-15
pcfg_set,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-5.250588699363703,-16.328766272585028,4.142068848748676e-18,0.9999999998139978,False,7.869930812622485e-17,4.142068848748676e-17
pcfg_set,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,-5.369151502269574,-9.497139885049908,1.649936650514288e-06,0.9997988184910644,False,1.4849429854628591e-05,2.7498944175238133e-06
scan_jump,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,-5.101073576076857,-2.5249120723020813,0.023085211543469538,0.8914579442379156,False,0.06925563463040861,0.025650235048299486
scan_jump,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-5.90199323910015,-9.344923628443821,1.688099746856591e-11,0.9999981602289866,False,2.532149620284887e-10,5.626999156188637e-11
scan_jump,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-10.716682764704345,-18.256467474437482,8.509417377506087e-18,0.9999999999999946,False,1.5316951279510958e-16,5.672944918337391e-17
scan_jump,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-4.814689525604194,-18.741576617651123,1.0836282228297882e-19,0.9999999999328187,False,2.1672564456595766e-18,2.1672564456595766e-18
scan_jump,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,-8.648552672660273,-20.129071315650297,4.474871142334572e-09,0.9999999489638753,False,5.817332485034943e-08,1.1187177855836428e-08
