run_id,benchmark,arch,condition,lambda_val,seed_idx,global_seed,final_id_acc,final_ood_acc,escaped,status
permutation_control_hbar_s0,hbar,transformer_2l,permuted_substitution_pairing,0.05,0,7,93.65,60.65,False,PASS
permutation_control_hbar_s1,hbar,transformer_2l,permuted_substitution_pairing,0.05,1,49,92.65,60.84,False,PASS
permutation_control_hbar_s2,hbar,transformer_2l,permuted_substitution_pairing,0.05,2,91,93.97,58.73,False,PASS
permutation_control_hbar_s3,hbar,transformer_2l,permuted_substitution_pairing,0.05,3,133,96.79,59.64,False,PASS
permutation_control_hbar_s4,hbar,transformer_2l,permuted_substitution_pairing,0.05,4,175,94.27,56.13,False,PASS
permutation_control_hbar_s5,hbar,transformer_2l,permuted_substitution_pairing,0.05,5,217,93.39,58.66,False,PASS
permutation_control_hbar_s6,hbar,transformer_2l,permuted_substitution_pairing,0.05,6,259,92.85,58.27,False,PASS
permutation_control_hbar_s7,hbar,transformer_2l,permuted_substitution_pairing,0.05,7,301,94.86,57.95,False,PASS
permutation_control_hbar_s8,hbar,transformer_2l,permuted_substitution_pairing,0.05,8,343,94.26,62.71,False,PASS
permutation_control_hbar_s9,hbar,transformer_2l,permuted_substitution_pairing,0.05,9,385,91.93,55.39,False,PASS
permutation_control_hbar_s10,hbar,transformer_2l,permuted_substitution_pairing,0.05,10,427,95.99,54.83,False,PASS
permutation_control_hbar_s11,hbar,transformer_2l,permuted_substitution_pairing,0.05,11,469,93.46,56.42,False,PASS
permutation_control_hbar_s12,hbar,transformer_2l,permuted_substitution_pairing,0.05,12,511,93.69,54.4,False,PASS
permutation_control_hbar_s13,hbar,transformer_2l,permuted_substitution_pairing,0.05,13,553,95.7,57.6,False,PASS
permutation_control_hbar_s14,hbar,transformer_2l,permuted_substitution_pairing,0.05,14,595,91.42,57.33,False,PASS
permutation_control_hbar_s15,hbar,transformer_2l,permuted_substitution_pairing,0.05,15,637,94.49,65.21,False,PASS
permutation_control_hbar_s16,hbar,transformer_2l,permuted_substitution_pairing,0.05,16,679,95.14,58.03,False,PASS
permutation_control_hbar_s17,hbar,transformer_2l,permuted_substitution_pairing,0.05,17,721,95.51,63.05,False,PASS
permutation_control_hbar_s18,hbar,transformer_2l,permuted_substitution_pairing,0.05,18,763,95.07,55.73,False,PASS
permutation_control_hbar_s19,hbar,transformer_2l,permuted_substitution_pairing,0.05,19,805,94.32,56.84,False,PASS
permutation_control_hbar_s20,hbar,transformer_2l,permuted_substitution_pairing,0.05,20,847,91.65,55.09,False,PASS
permutation_control_hbar_s21,hbar,transformer_2l,permuted_substitution_pairing,0.05,21,889,91.78,59.4,False,PASS
permutation_control_hbar_s22,hbar,transformer_2l,permuted_substitution_pairing,0.05,22,931,96.22,52.4,False,PASS
permutation_control_hbar_s23,hbar,transformer_2l,permuted_substitution_pairing,0.05,23,973,91.78,52.26,False,PASS
permutation_control_hbar_s24,hbar,transformer_2l,permuted_substitution_pairing,0.05,24,1015,96.34,68.0,False,PASS
permutation_control_hbar_s25,hbar,transformer_2l,permuted_substitution_pairing,0.05,25,1057,93.94,66.53,False,PASS
