lambda,mu_perp,u_star_shortcut,v_star_shortcut,u_star_schema,v_star_schema,is_supercritical
0.0,-0.5,1.0,0.0,1.0,0.0,False
0.01,-0.49,0.9950248756218907,0.0,0.9950248756218907,0.0,False
0.02,-0.48,0.9900990099009901,0.0,0.9900990099009901,0.0,False
0.03,-0.47,0.9852216748768474,0.0,0.9852216748768474,0.0,False
0.04,-0.46,0.9803921568627451,0.0,0.9803921568627451,0.0,False
0.05,-0.45,0.9756097560975611,0.0,0.9756097560975611,0.0,False
0.06,-0.44,0.970873786407767,0.0,0.970873786407767,0.0,False
0.07,-0.43,0.9661835748792271,0.0,0.9661835748792271,0.0,False
0.08,-0.42,0.9615384615384615,0.0,0.9615384615384615,0.0,False
0.09,-0.41000000000000003,0.9569377990430623,0.0,0.9569377990430623,0.0,False
0.1,-0.4,0.9523809523809523,0.0,0.9523809523809523,0.0,False
0.11,-0.39,0.9478672985781991,0.0,0.9478672985781991,0.0,False
0.12,-0.38,0.9433962264150942,0.0,0.9433962264150942,0.0,False
0.13,-0.37,0.9389671361502347,0.0,0.9389671361502347,0.0,False
0.14,-0.36,0.9345794392523364,0.0,0.9345794392523364,0.0,False
0.15,-0.35,0.9302325581395349,0.0,0.9302325581395349,0.0,False
0.16,-0.33999999999999997,0.9259259259259258,0.0,0.9259259259259258,0.0,False
0.17,-0.32999999999999996,0.9216589861751152,0.0,0.9216589861751152,0.0,False
0.18,-0.32,0.9174311926605504,0.0,0.9174311926605504,0.0,False
0.19,-0.31,0.9132420091324202,0.0,0.9132420091324202,0.0,False
0.2,-0.3,0.9090909090909091,0.0,0.9090909090909091,0.0,False
0.21,-0.29000000000000004,0.9049773755656109,0.0,0.9049773755656109,0.0,False
0.22,-0.28,0.9009009009009008,0.0,0.9009009009009008,0.0,False
0.23,-0.27,0.8968609865470852,0.0,0.8968609865470852,0.0,False
0.24,-0.26,0.8928571428571428,0.0,0.8928571428571428,0.0,False
0.25,-0.25,0.8888888888888888,0.0,0.8888888888888888,0.0,False
0.26,-0.24,0.8849557522123894,0.0,0.8849557522123894,0.0,False
0.27,-0.22999999999999998,0.8810572687224669,0.0,0.8810572687224669,0.0,False
0.28,-0.21999999999999997,0.8771929824561403,0.0,0.8771929824561403,0.0,False
0.29,-0.21000000000000002,0.8733624454148472,0.0,0.8733624454148472,0.0,False
0.3,-0.2,0.8695652173913044,0.0,0.8695652173913044,0.0,False
0.31,-0.19,0.8658008658008658,0.0,0.8658008658008658,0.0,False
0.32,-0.18,0.8620689655172414,0.0,0.8620689655172414,0.0,False
0.33,-0.16999999999999998,0.8583690987124464,0.0,0.8583690987124464,0.0,False
0.34,-0.15999999999999998,0.8547008547008548,0.0,0.8547008547008548,0.0,False
0.35000000000000003,-0.14999999999999997,0.851063829787234,0.0,0.851063829787234,0.0,False
0.36,-0.14,0.8474576271186441,0.0,0.8474576271186441,0.0,False
0.37,-0.13,0.8438818565400843,0.0,0.8438818565400843,0.0,False
0.38,-0.12,0.8403361344537815,0.0,0.8403361344537815,0.0,False
0.39,-0.10999999999999999,0.8368200836820083,0.0,0.8368200836820083,0.0,False
0.4,-0.09999999999999998,0.8333333333333334,0.0,0.8333333333333334,0.0,False
0.41000000000000003,-0.08999999999999997,0.8298755186721991,0.0,0.8298755186721991,0.0,False
0.42,-0.08000000000000002,0.8264462809917356,0.0,0.8264462809917356,0.0,False
0.43,-0.07,0.8230452674897119,0.0,0.8230452674897119,0.0,False
0.44,-0.06,0.819672131147541,0.0,0.819672131147541,0.0,False
0.45,-0.04999999999999999,0.8163265306122448,0.0,0.8163265306122448,0.0,False
0.46,-0.03999999999999998,0.8130081300813008,0.0,0.8130081300813008,0.0,False
0.47000000000000003,-0.02999999999999997,0.8097165991902834,0.0,0.8097165991902834,0.0,False
0.48,-0.020000000000000018,0.8064516129032259,0.0,0.8064516129032259,0.0,False
0.49,-0.010000000000000009,0.8032128514056224,0.0,0.8032128514056224,0.0,False
0.5,0.0,0.8,0.0,0.8,0.0,False
0.51,0.010000000000000009,0.7968127490039841,0.0,0.7968127490039841,0.010000000000000009,True
0.52,0.020000000000000018,0.7936507936507936,0.0,0.7936507936507936,0.020000000000000018,True
0.53,0.030000000000000027,0.7905138339920947,0.0,0.7905138339920947,0.030000000000000027,True
0.54,0.040000000000000036,0.7874015748031495,0.0,0.7874015748031495,0.040000000000000036,True
0.55,0.050000000000000044,0.7843137254901962,0.0,0.7843137254901962,0.050000000000000044,True
0.56,0.06000000000000005,0.78125,0.0,0.78125,0.06000000000000005,True
0.5700000000000001,0.07000000000000006,0.7782101167315174,0.0,0.7782101167315174,0.07000000000000006,True
0.58,0.07999999999999996,0.7751937984496123,0.0,0.7751937984496123,0.07999999999999996,True
0.59,0.08999999999999997,0.7722007722007722,0.0,0.7722007722007722,0.08999999999999997,True
0.6,0.09999999999999998,0.7692307692307692,0.0,0.7692307692307692,0.09999999999999998,True
0.61,0.10999999999999999,0.7662835249042146,0.0,0.7662835249042146,0.10999999999999999,True
0.62,0.12,0.7633587786259541,0.0,0.7633587786259541,0.12,True
0.63,0.13,0.7604562737642586,0.0,0.7604562737642586,0.13,True
0.64,0.14,0.7575757575757576,0.0,0.7575757575757576,0.14,True
0.65,0.15000000000000002,0.7547169811320755,0.0,0.7547169811320755,0.15000000000000002,True
0.66,0.16000000000000003,0.7518796992481203,0.0,0.7518796992481203,0.16000000000000003,True
0.67,0.17000000000000004,0.7490636704119851,0.0,0.7490636704119851,0.17000000000000004,True
0.68,0.18000000000000005,0.7462686567164178,0.0,0.7462686567164178,0.18000000000000005,True
0.6900000000000001,0.19000000000000006,0.7434944237918216,0.0,0.7434944237918216,0.19000000000000006,True
0.7000000000000001,0.20000000000000007,0.7407407407407407,0.0,0.7407407407407407,0.20000000000000007,True
0.71,0.20999999999999996,0.7380073800738007,0.0,0.7380073800738007,0.20999999999999996,True
0.72,0.21999999999999997,0.7352941176470589,0.0,0.7352941176470589,0.21999999999999997,True
0.73,0.22999999999999998,0.7326007326007326,0.0,0.7326007326007326,0.22999999999999998,True
0.74,0.24,0.7299270072992701,0.0,0.7299270072992701,0.24,True
0.75,0.25,0.7272727272727273,0.0,0.7272727272727273,0.25,True
