Condition,Mean_OOD,Std_OOD,Median_OOD,CI_95_Low,CI_95_High,Escape_Fraction
arm_a_lambda_0.00,49.15508594617359,4.458131697417109,48.20833811875502,47.56830710922248,50.70366754718427,0.0
arm_a_lambda_0.05,99.8170054745224,0.6798568742625405,100.0,99.55208452968876,99.98966348914668,1.0
arm_a_lambda_0.10,99.96631063129283,0.1332197667596315,100.0,99.91118257340837,100.0,1.0
arm_a_lambda_0.20,99.98392098311703,0.08806840249307857,100.0,99.95176294935109,100.0,1.0
arm_a_lambda_0.30,100.0,0.0,100.0,100.0,100.0,1.0
arm_a_lambda_0.50,100.0,0.0,100.0,100.0,100.0,1.0
arm_a_lambda_0.75,100.0,0.0,100.0,100.0,100.0,1.0
arm_a_lambda_1.00,100.0,0.0,100.0,100.0,100.0,1.0
arm_a_lambda_1.50,100.0,0.0,100.0,100.0,100.0,1.0
arm_a_lambda_2.00,100.0,0.0,100.0,100.0,100.0,1.0
arm_b_tint_0,100.0,0.0,100.0,100.0,100.0,1.0
arm_b_tint_100,100.0,0.0,100.0,100.0,100.0,1.0
arm_b_tint_250,100.0,0.0,100.0,100.0,100.0,1.0
arm_b_tint_500,99.98736648673481,0.06919660195884687,100.0,99.96209946020444,100.0,1.0
arm_b_tint_1000,99.98736648673481,0.06919660195884687,100.0,99.96209946020444,100.0,1.0
