benchmark,arch,lambda_val,lambda_regime,n_seeds,mean_lambda_max_hessian,std_lambda_max_hessian,max_lambda_max_hessian,eos_ceiling_2_over_eta,below_eos_ceiling,basin_type
cogs,gru_baseline,0.0,subcritical,10,0.0,0.0,0.0,2000.0,True,shortcut_basin_Es
cogs,gru_baseline,0.025,boundary,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
cogs,gru_baseline,0.5,supercritical,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
cogs,transformer_2l,0.0,subcritical,30,0.00016525721791822435,0.00013441889211346977,0.0006413557566702366,2000.0,True,shortcut_basin_Es
cogs,transformer_2l,0.015,subcritical,30,0.00013184873181065388,9.761627863668811e-05,0.00042768707498908043,2000.0,True,shortcut_basin_Es
cogs,transformer_2l,0.02,boundary,30,0.0001196767809233279,6.478687744752184e-05,0.00030414655338972807,2000.0,True,shortcut_basin_Es
cogs,transformer_2l,0.025,boundary,30,0.00016884278108288223,0.00010228245155425428,0.00044293617247603834,2000.0,True,coherent_basin_Ec
cogs,transformer_2l,0.03,boundary,30,0.00022666234017378883,0.000330307603016351,0.0017277123406529427,2000.0,True,coherent_basin_Ec
cogs,transformer_2l,0.5,supercritical,30,0.00022347308380024817,0.0003973214079783149,0.002047878224402666,2000.0,True,coherent_basin_Ec
cogs,transformer_4l_scaled,0.0,subcritical,10,2.6968625934387092e-05,2.8671504011578113e-05,8.147436165018007e-05,2000.0,True,shortcut_basin_Es
cogs,transformer_4l_scaled,0.025,boundary,10,0.002910822741705488,0.009144456957267844,0.028936387971043587,2000.0,True,coherent_basin_Ec
cogs,transformer_4l_scaled,0.5,supercritical,10,0.20712856879072206,0.6549795452729125,2.071233034133911,2000.0,True,coherent_basin_Ec
hbar,gru_baseline,0.0,subcritical,10,0.0,0.0,0.0,2000.0,True,shortcut_basin_Es
hbar,gru_baseline,0.025,boundary,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
hbar,gru_baseline,0.5,supercritical,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
hbar,transformer_2l,0.0,subcritical,30,2.6353323861864433e-05,2.205984576065868e-05,9.479245636612177e-05,2000.0,True,shortcut_basin_Es
hbar,transformer_2l,0.015,subcritical,30,2.9983673088196382e-05,4.2425486106067394e-05,0.00023900855740066618,2000.0,True,shortcut_basin_Es
hbar,transformer_2l,0.02,boundary,30,2.3796802224751445e-05,1.5192986851072981e-05,6.176456372486427e-05,2000.0,True,shortcut_basin_Es
hbar,transformer_2l,0.025,boundary,30,2.9867793553724672e-05,3.993395931559042e-05,0.00022325594909489155,2000.0,True,coherent_basin_Ec
hbar,transformer_2l,0.03,boundary,30,2.7303567124666492e-05,2.035225567373343e-05,7.388827361864969e-05,2000.0,True,coherent_basin_Ec
hbar,transformer_2l,0.5,supercritical,30,2.733449036895763e-05,2.2242662247740636e-05,6.492578540928662e-05,2000.0,True,coherent_basin_Ec
hbar,transformer_4l_scaled,0.0,subcritical,10,0.0008132360289891949,0.0025070894390147695,0.007948469370603561,2000.0,True,shortcut_basin_Es
hbar,transformer_4l_scaled,0.025,boundary,10,0.00010048136564364541,0.0002366503538583742,0.0007724343449808657,2000.0,True,coherent_basin_Ec
hbar,transformer_4l_scaled,0.5,supercritical,10,0.0001231644106155727,0.0003185561339655508,0.001027722260914743,2000.0,True,coherent_basin_Ec
pcfg_set,gru_baseline,0.0,subcritical,10,0.0,0.0,0.0,2000.0,True,shortcut_basin_Es
pcfg_set,gru_baseline,0.025,boundary,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
pcfg_set,gru_baseline,0.5,supercritical,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
pcfg_set,transformer_2l,0.0,subcritical,30,2.6353323861864433e-05,2.205984576065868e-05,9.479245636612177e-05,2000.0,True,shortcut_basin_Es
pcfg_set,transformer_2l,0.015,subcritical,30,2.9983673088196382e-05,4.2425486106067394e-05,0.00023900855740066618,2000.0,True,shortcut_basin_Es
pcfg_set,transformer_2l,0.02,boundary,30,2.3796802224751445e-05,1.5192986851072981e-05,6.176456372486427e-05,2000.0,True,shortcut_basin_Es
pcfg_set,transformer_2l,0.025,boundary,30,2.9867793553724672e-05,3.993395931559042e-05,0.00022325594909489155,2000.0,True,coherent_basin_Ec
pcfg_set,transformer_2l,0.03,boundary,30,2.7303567124666492e-05,2.035225567373343e-05,7.388827361864969e-05,2000.0,True,coherent_basin_Ec
pcfg_set,transformer_2l,0.5,supercritical,30,2.733449036895763e-05,2.2242662247740636e-05,6.492578540928662e-05,2000.0,True,coherent_basin_Ec
pcfg_set,transformer_4l_scaled,0.0,subcritical,10,0.0008132360289891949,0.0025070894390147695,0.007948469370603561,2000.0,True,shortcut_basin_Es
pcfg_set,transformer_4l_scaled,0.025,boundary,10,0.00010048136564364541,0.0002366503538583742,0.0007724343449808657,2000.0,True,coherent_basin_Ec
pcfg_set,transformer_4l_scaled,0.5,supercritical,10,0.0001231644106155727,0.0003185561339655508,0.001027722260914743,2000.0,True,coherent_basin_Ec
scan_jump,gru_baseline,0.0,subcritical,10,0.0,0.0,0.0,2000.0,True,shortcut_basin_Es
scan_jump,gru_baseline,0.025,boundary,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
scan_jump,gru_baseline,0.5,supercritical,10,0.0,0.0,0.0,2000.0,True,coherent_basin_Ec
scan_jump,transformer_2l,0.0,subcritical,30,2.6353323861864433e-05,2.205984576065868e-05,9.479245636612177e-05,2000.0,True,shortcut_basin_Es
scan_jump,transformer_2l,0.015,subcritical,30,2.9983673088196382e-05,4.2425486106067394e-05,0.00023900855740066618,2000.0,True,shortcut_basin_Es
scan_jump,transformer_2l,0.02,boundary,30,2.3796802224751445e-05,1.5192986851072981e-05,6.176456372486427e-05,2000.0,True,shortcut_basin_Es
scan_jump,transformer_2l,0.025,boundary,30,2.9867793553724672e-05,3.993395931559042e-05,0.00022325594909489155,2000.0,True,coherent_basin_Ec
scan_jump,transformer_2l,0.03,boundary,30,2.7303567124666492e-05,2.035225567373343e-05,7.388827361864969e-05,2000.0,True,coherent_basin_Ec
scan_jump,transformer_2l,0.5,supercritical,30,2.733449036895763e-05,2.2242662247740636e-05,6.492578540928662e-05,2000.0,True,coherent_basin_Ec
scan_jump,transformer_4l_scaled,0.0,subcritical,10,0.0008132360289891949,0.0025070894390147695,0.007948469370603561,2000.0,True,shortcut_basin_Es
