benchmark,arch,lambda_val,lambda_regime,tier,evidence_class,n_seeds,mean_id_acc,std_id_acc,ci_95_id_low,ci_95_id_high,mean_ood_acc,std_ood_acc,ci_95_ood_low,ci_95_ood_high,escape_fraction,mean_top_hessian_eig,mean_whitened_gca
hbar,transformer_2l,0.0,subcritical,tier_1_primary_change_point,primary,30,93.62,1.66,93.02597662896707,94.21402337103294,63.28,6.39,60.993367866927436,65.56663213307257,0.167,2.64e-05,1.0
hbar,transformer_2l,0.01,subcritical,tier_1_primary_change_point,primary,30,93.85,1.6,93.27744735322126,94.42255264677873,67.5,7.8,64.70880584695368,70.29119415304632,0.2,2.75e-05,0.0812
hbar,transformer_2l,0.015,boundary,tier_1_primary_change_point,primary,30,94.15,1.51,93.60965343960258,94.69034656039743,71.1,8.78,67.9581173508017,74.24188264919829,0.533,3e-05,0.0582
hbar,transformer_2l,0.018,boundary,tier_1_primary_change_point,primary,30,94.18,1.55,93.6253396234331,94.73466037656691,70.8,9.1,67.54360682144595,74.05639317855405,0.467,2.5e-05,0.0551
hbar,transformer_2l,0.02,boundary,tier_1_primary_change_point,primary,30,94.2,1.6,93.62744735322127,94.77255264677873,70.31,9.76,66.81742885464973,73.80257114535027,0.5,2.38e-05,0.053
hbar,transformer_2l,0.022,boundary,tier_1_primary_change_point,primary,30,94.16,1.62,93.58029044513653,94.73970955486347,71.5,9.9,67.95733049805659,75.04266950194341,0.533,2.6e-05,0.051
hbar,transformer_2l,0.025,boundary,tier_1_primary_change_point,primary,30,94.14,1.66,93.54597662896707,94.73402337103293,72.11,10.08,68.50291832529398,75.71708167470602,0.567,2.99e-05,0.0464
hbar,transformer_2l,0.028,boundary,tier_1_primary_change_point,primary,30,94.05,1.6,93.47744735322127,94.62255264677873,72.25,8.5,69.20831406398798,75.29168593601202,0.633,2.8e-05,0.0475
hbar,transformer_2l,0.03,boundary,tier_1_primary_change_point,primary,30,93.99,1.58,93.424604261306,94.55539573869399,72.36,7.24,69.76919927332622,74.95080072667378,0.7,2.73e-05,0.0486
hbar,transformer_2l,0.05,supercritical,tier_1_primary_change_point,primary,30,94.05,1.65,93.45955508300943,94.64044491699056,94.2,1.8,93.55587827237393,94.84412172762607,0.9,2.7e-05,0.0425
hbar,transformer_2l,0.5,supercritical,tier_1_primary_change_point,primary,30,94.09,1.72,93.47450590471287,94.70549409528714,98.4,0.3,98.29264637872899,98.50735362127102,1.0,2.73e-05,0.0403
hbar,gru_baseline,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,98.0,1.2,97.2562322943284,98.7437677056716,72.5,9.4,66.67381963890578,78.32618036109422,0.4,0.0,1.0
hbar,gru_baseline,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,99.2,0.8,98.7041548628856,99.6958451371144,88.4,5.1,85.23898725089569,91.56101274910432,0.9,0.0,0.15
