benchmark,arch,pair,lambda_1,lambda_2,mean_diff,welch_t_stat,welch_p_val,tost_p_val,is_equivalent_2_5pct,welch_p_holm,welch_p_fdr_bh
cogs,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,5.333333333333343,2.1290994636050553,0.04771134576981115,0.0029853154020119677,False,0.42940211192830036,0.07951890961635191
cogs,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-0.7839506172839634,-0.6669253489579815,0.5074938978990282,0.07488881298450456,False,1.0,0.6287493738533566
cogs,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,3.8395061728395063,2.88165790416381,0.005696782342177502,7.711811956689907e-06,False,0.07405817044830752,0.014135598039618133
cogs,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,4.62345679012347,3.3355250772348217,0.0015205457301075403,1.8377743956632386e-06,False,0.025849277411828187,0.007151711648980872
cogs,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,3.94444444444445,0.6339220205156146,0.5344369677753531,0.15731154279227189,False,1.0,0.6287493738533566
hbar,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,28.890625,12.1384368001483,4.2206833104090757e-10,5.4729110132711867e-11,False,8.441366620818151e-09,2.8137888736060507e-09
hbar,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-0.2473958333333286,-0.10923006019167858,0.9134354078385334,0.16224836946512067,False,1.0,0.9134354078385334
hbar,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-6.520833333333329,-2.762120135747333,0.007774578921789973,0.9529313710644036,False,0.09329494706147967,0.014135598039618133
hbar,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-6.2734375,-3.1623608940702965,0.002503099077143305,0.9689072522065453,False,0.04004958523429288,0.007151711648980872
hbar,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,10.578125,1.9946804001447882,0.06592526344186243,0.013594547958993841,False,0.5274021075348995,0.08790035125581658
pcfg_set,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,28.890625,12.1384368001483,4.2206833104090757e-10,5.4729110132711867e-11,False,8.441366620818151e-09,2.8137888736060507e-09
pcfg_set,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-0.2473958333333286,-0.10923006019167858,0.9134354078385334,0.16224836946512067,False,1.0,0.9134354078385334
pcfg_set,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-6.520833333333329,-2.762120135747333,0.007774578921789973,0.9529313710644036,False,0.09329494706147967,0.014135598039618133
pcfg_set,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-6.2734375,-3.1623608940702965,0.002503099077143305,0.9689072522065453,False,0.04004958523429288,0.007151711648980872
pcfg_set,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,10.578125,1.9946804001447882,0.06592526344186243,0.013594547958993841,False,0.5274021075348995,0.08790035125581658
scan_jump,gru_baseline,lambda_0.025_vs_0.5,0.025,0.5,28.890625,12.1384368001483,4.2206833104090757e-10,5.4729110132711867e-11,False,8.441366620818151e-09,2.8137888736060507e-09
scan_jump,transformer_2l,lambda_0.025_vs_0.03,0.025,0.03,-0.2473958333333286,-0.10923006019167858,0.9134354078385334,0.16224836946512067,False,1.0,0.9134354078385334
scan_jump,transformer_2l,lambda_0.025_vs_0.5,0.025,0.5,-6.520833333333329,-2.762120135747333,0.007774578921789973,0.9529313710644036,False,0.09329494706147967,0.014135598039618133
scan_jump,transformer_2l,lambda_0.03_vs_0.5,0.03,0.5,-6.2734375,-3.1623608940702965,0.002503099077143305,0.9689072522065453,False,0.04004958523429288,0.007151711648980872
scan_jump,transformer_4l_scaled,lambda_0.025_vs_0.5,0.025,0.5,10.578125,1.9946804001447882,0.06592526344186243,0.013594547958993841,False,0.5274021075348995,0.08790035125581658
