run_id,tier,evidence_class,benchmark,arch,lambda,lambda_regime,seed,final_id_acc,final_ood_acc,mean_whitened_gca,top_hessian_eig,wall_clock_sec,status
1,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,7,95.67147613762486,66.640625,0.9999999805386363,7.7762124419678e-06,10.930951356887817,PASS
2,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,49,90.70548712206048,67.65625,0.999999995813699,0.0,10.89969778060913,PASS
3,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,91,92.73927392739274,60.15625,1.0000000128558977,2.3326034352066927e-05,10.918884515762329,PASS
4,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,133,95.58011049723757,69.296875,1.000000042677378,2.8604565159184858e-05,10.843164443969727,PASS
5,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,175,94.14364640883977,60.0,1.0000000020511943,2.152258275600616e-06,10.878865718841553,PASS
6,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,217,92.1259842519685,60.703125,1.0000000461306187,8.69411542225862e-06,10.879445791244507,PASS
7,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,259,92.4092409240924,62.96874999999999,1.0000000257796404,2.6424236239108723e-06,10.872275114059448,PASS
8,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,301,92.86510590858417,74.296875,1.0000000264730855,2.218419649580028e-05,10.871883869171143,PASS
9,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,343,92.80261723009815,60.0,1.000000001395274,1.0007029231928755e-05,10.885058879852295,PASS
10,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,385,93.28932893289328,60.546875,1.0000000431591851,1.410097502230201e-05,10.873178005218506,PASS
11,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,427,94.32933478735005,66.484375,1.0000000245634444,9.479245636612177e-05,10.867610454559326,PASS
12,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,469,92.53065774804905,62.03125000000001,1.00000003328638,4.578248262987472e-05,10.747795581817627,PASS
13,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,511,92.66155531215772,60.0,0.9999999896904413,1.3220892469689716e-05,10.838764429092407,PASS
14,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,553,96.78135405105438,61.328125,1.000000002923464,3.068929800065234e-05,10.766855716705322,PASS
15,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,595,92.59668508287294,72.265625,0.9999999922904804,4.106992855668068e-05,10.851148843765259,PASS
16,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,637,95.40873460246361,58.51562500000001,0.9999999816918579,1.785068161552772e-05,10.919371366500854,PASS
17,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,679,91.5273132664437,60.15625,0.9999999850544697,6.81692617945373e-05,10.777092695236206,PASS
18,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,721,94.40089585666294,71.640625,0.9999999838807417,4.018727850052528e-05,10.913888931274414,PASS
19,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,763,92.68841394825647,56.25,1.0000000203103656,5.0316511988057755e-06,10.86671757698059,PASS
20,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,805,94.41401971522454,64.296875,1.0000000086477938,6.625233072554693e-05,10.895240306854248,PASS
21,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,847,91.1991199119912,67.109375,0.9999999677446484,1.5117409930098802e-05,10.729475975036621,PASS
22,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,889,93.23882224645584,60.0,0.9999999744174758,3.391250720596872e-05,10.808868885040283,PASS
23,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,931,96.80968096809681,54.37499999999999,0.9999999962465206,2.5931920390576124e-05,10.816033601760864,PASS
24,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,973,96.24309392265194,56.32812499999999,0.9999999833119705,2.8251584808458574e-05,10.732286930084229,PASS
25,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,1015,91.33858267716536,73.28125,0.9999999685028763,2.1006393581046723e-05,10.88888669013977,PASS
26,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,1057,93.39305711086226,57.96875,0.9999999935416316,3.0108411010587588e-05,10.916727542877197,PASS
27,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,1099,93.70165745856353,80.390625,0.9999999642664879,1.152500590251293e-05,10.73261547088623,PASS
28,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,1141,94.56159822419534,62.265625,1.000000008208081,5.5463988246629015e-05,10.896707534790039,PASS
29,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,1183,92.89678135405104,55.15624999999999,0.9999999714139972,1.438874278392177e-05,10.824606895446777,PASS
30,tier_1_primary_change_point,primary,hbar,transformer_2l,0.0,subcritical,1225,95.67147613762486,56.25,1.0000000010700842,1.2359680113149807e-05,10.925950527191162,PASS
31,tier_1_primary_change_point,primary,hbar,transformer_2l,0.015,subcritical,7,93.89567147613762,71.5625,0.0949519041827388,1.888907172542531e-05,19.263309001922607,PASS
32,tier_1_primary_change_point,primary,hbar,transformer_2l,0.015,subcritical,49,95.96864501679731,68.75,0.07204695799205559,1.9816048734355718e-05,19.16338062286377,PASS
