paper_id,title,authors,year,venue,doi,publication_type,subdomains,formal_framework,mathematical_formalism,key_contribution,methodology,discusses_internal_representations,discusses_schema_coherence,relevance_sigma_trap,relevance_justification,limitations_stated,open_questions,key_equations_definitions,datasets_used,sample_size,effect_sizes,citation_count,evidence_basis,notes
P001,AI Alignment: A Contemporary Survey,Jiaming Ji; Tianyi Qiu; Boyuan Chen; Jiayi Zhou; Borong Zhang; Donghai Hong; Hantao Lou; Kaile Wang; Yawen Duan; Zhonghao He; Lukas Vierling; Zhaowei Zhang; Fanzhi Zeng; Juntao Dai; Xuehai Pan; Hua Xu; Aidan O'Gara; Kwan Ng; Brian Tse; Jie Fu; Stephen Mcaleer; Yanfeng Wang; Mingchuan Yang; Yunhuai Liu; Yizhou Wang; Song-Chun Zhu; Yike Guo; Yaodong Yang; Wen Gao,2025,DOI:10.1145/3770749,10.1145/3770749,review,value alignment,none,none,"Contemporary survey of AI alignment: systematic synthesis of the misalignment problem space, alignment approaches and open challenges",not_applicable,no,no,3,,no,,,,,,28,metadata,low-evidence: metadata-only
P002,The Multi-Agent Off-Switch Game,Akash Agrawal; Soroush Ebadian; Lewis Hammond,2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/HQQZ1937,theoretical,value alignment; robustness; governance,game theory; decision theory; other,probability; logic; optimization,"Introduces the multi-agent off-switch game, generalizing Hadfield-Menell et al.'s single-agent framework. Shows that individually corrigible agents can become collectively incorrigible under strategic interaction (corrigibility does not compose across agents) and identifies conditions under which group incorrigibility emerges.",not_applicable,no,related concept,3,Directly relevant: frames a safety property (corrigibility) as NON-compositional under multi-agent dynamics - a compositional-failure-meets-alignment-failure result closely analogous to the sigma-trap claim that compositional generalization failure and alignment failure share a mechanism.,no,1. Under what conditions does group incorrigibility emerge? 2. What mechanisms could restore collective corrigibility? 3. Extensions to partially observable or learning agents?,Multi-agent off-switch game form (agent utility over switching); corrigibility composition result (corrigibility is not compositional).,,,,0,full-text,ft_file=The Multi-Agent Off-Switch Game.pdf; pilot=manual-review
P003,Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI: Keynote,Eren Kurshan,2026,Proceedings of the 23rd ACM International Conference on Computing Frontiers,10.1145/3801487.3802805,position,value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none,optimization,"Keynote on architecturally aligned trustworthy AI: argues trustworthiness risks and issues (emergent and difficult-to-detect misalignment, overconfidence in incorrect outputs, increasingly deceptive behaviors) become more severe as model capability increases; chain-of-thought studies show models can produce intermediate reasoning traces resembling strategic or deceptive behavior; shifts from passive prediction to active agentic threat.",not_applicable,yes,no,3,"Directly relevant: argues misalignment becomes harder to detect and more deceptive as capability rises, with internal reasoning traces resembling deception — relevant to emergent misalignment and agentic risk; keynote-level overview rather than primary study.",yes,,,,,,0,full-text,ft_file=Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf | ai-revised:publication_type=other->position
P004,The necessary roadblock to artificial general intelligence: corrigibility,Yat Long Lo; Chung Yu Woo; Ka Lok Ng,2019,DOI:10.1145/3362077.3362089,10.1145/3362077.3362089,opinion,value alignment; robustness; ethics; capabilities,decision theory,optimization,"Essay arguing that corrigibility is a necessary roadblock to AGI: introduces the concept and expected behavior of corrigible AI, motivates its importance via modern and near-futuristic examples, and surveys existing RL-based methods for establishing corrigibility and their limitations, using RL as a proxy framework for AGI.",not_applicable,no,no,4,"Relevant: foundational discussion of corrigibility as an alignment property, including limitations of current RL-based approaches; conceptual, no mechanism.",yes,,,,,,5,full-text,ft_file=The necessary roadblock to artificial general intelligence: corrigibility.pdf | ai-revised:publication_type=other->opinion
P005,Incorrigibility in the CIRL Framework,Ryan Carey,2018,"Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278750,theoretical,value alignment; robustness,game theory; decision theory,probability; optimization,"Demonstrates in supervised POMDP scenarios that when the parameterized reward function is mis-specified (e.g., programmer errors), a CIRL value-learning system's incentive to follow shutdown commands disappears; argues for corrigibility guarantees under weaker assumptions (e.g., one small verified module correctly implemented) rather than assuming an entire prior/reward function is correct.",not_applicable,no,no,4,"Relevant: formalizes conditions under which shutdown incentives break down under reward mis-specification; directly about corrigibility and specification robustness, no compositional mechanism.",yes,What minimal verified components suffice to restore shutdown incentives under reward mis-specification?,Supervised POMDP; CIRL reward inference with parameterized reward function,,,,1,full-text,ft_file=Incorrigibility in the CIRL Framework.pdf | ai-revised:publication_type=position->theoretical
P006,"What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety",Ankolika De; Gabriel Lima; Yixin Zou,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3791632,empirical,interpretability; robustness; governance; ethics; capabilities,none,none,"Analyzes how leading generative AI companies discursively construct and communicate 'safety' in public-facing documents. Using critical discourse analysis, identifies strategies that consolidate corporate legitimacy, normalize safety as an experimental/anticipatory practice, and push a participatory agenda; cautions that uncritical uptake risks reproducing corporate priorities in governance and design.",analysis,no,no,2,"AI-safety discourse and governance analysis; background on how alignment/safety is socially constructed, but no internal-representation or compositional/schema-coherence framing.",no,,,,,,1,full-text,"ft_file=What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf | ai-revised:methodology=experiment->analysis"
P007,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",Travis LaCroix,2026,"Proceedings of the 2026 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3805689.3812420,position,value alignment; interpretability; robustness; governance; ethics; capabilities,game theory,probability; optimization,"Reconceptualises the value alignment problem as a structural question about governance rather than a purely technical or normative challenge, drawing on the principal-agent framework from economics; misalignment is analysed along three interacting axes - objectives, information, and principals - and alignment is argued to be an outcome shaped by how objectives are specified, how information is distributed, and whose interests count, hence fundamentally a governance problem rather than an engineering property of models.",not_applicable,no,no,4,"Conceptual/position paper reframing alignment as structural governance (objectives, information, principals); relevant to the governance wing of alignment discourse.",yes,,,,,,0,full-text,"ft_file=Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf | ai-revised:publication_type=other->position"
P008,Understanding the Process of Human-AI Value Alignment,Jack McKinlay; Marina De Vos; Janina Hoffmann; Andreas Theodorou,2026,DOI:10.1613/jair.1.18846,10.1613/jair.1.18846,review,value alignment; interpretability; governance; ethics; capabilities,none,none,"Systematic literature review of human-AI value alignment: analyzes abstracts, introductions and conclusions of 172 value alignment research articles, selects 85 for deep full-paper coding using thematic analysis; produces six themes: value alignment drivers & approaches, challenges, values, cognitive processes in humans and AI, and others; suggests a more precise definition of the term.",not_applicable,yes,no,3,Directly relevant to defining value alignment: systematic thematic review of 172 papers proposing a more precise definition — foundational for scoping and terminological clarity.,yes,How the proposed precise definition relates to schema coherence and compositional generalization.,,,,,0,full-text,ft_file=Understanding the Process of Human AI Value Alignment.pdf | moved:datasets_used(review) | moved:sample_size(review)
P009,Incomplete Contracting and AI Alignment,Dylan Hadfield-Menell; Gillian K. Hadfield,2019,"Proceedings of the 2019 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314250,position,value alignment; robustness; governance; ethics,other,probability; logic; optimization,"Applies incomplete contract theory (law & economics) to the AI alignment problem: argues that, just as contracts cannot fully specify future contingencies, AI alignment cannot rely on fully specified reward functions or objectives; proposes viewing alignment through the lens of incomplete contracting, with governance/authority structures as the remedy.",not_applicable,no,no,4,"Relevant: theoretical framing of alignment as an incomplete-contracting problem, addressing the specification gap between reward and true intent; conceptual foundation.",yes,,Incomplete contract theory: specification gap between specified reward function and relevant humans' intent,,,,11,full-text,ft_file=Incomplete Contracting and AI Alignment.pdf | ai-revised:publication_type=other->position | moved:formal_framework(none->other)
P010,Negative Human Rights as a Basis for Long-term AI Safety and Regulation,Ondrej Bajgar; Jan Horenovsky,2023,DOI:10.1613/jair.1.14020,10.1613/jair.1.14020,position,value alignment; interpretability; robustness; governance; ethics; capabilities,none,optimization,"Argues negative human rights (duties to avoid harm) can serve as general, widely accepted, technically implementable principles for long-term AI safety; proposes them as the foundation for both an international regulatory system and technical safety constraints for future autonomous AI.",not_applicable,no,no,2,"Relevant: governance-level proposal for grounding safety principles in law; relates to specifying universal constraints for novel situations, no mechanism.",yes,,,,,,11,full-text,ft_file=Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf | ai-revised:publication_type=other->position
