id,title,authors,year,doi,arxiv_id,abstract,keywords,source_db,journal,url,decision,reason_code,notes,stage,ft_retrieval_status,ft_attempts,ft_pdf_path
P02_1215,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1216,Proceedings of the 2024 ACM Workshop on Information Hiding and Multimedia Security,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1217,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,,2025,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1218,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Conference Papers,,2026,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1219,Proceedings of the Companion Conference on Genetic and Evolutionary Computation,,2023,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1220,Proceedings of the 2025 15th International Conference on Communication and Network Security,,2025,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1221,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1222,Proceedings of the 18th ACM Conference on Recommender Systems,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1223,Companion Proceedings of the Web Conference 2022,,2022,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1224,Proceedings of the 2025 ACM Workshop on Information Hiding and Multimedia Security,,2025,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1225,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,,2023,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1226,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,,2022,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1227,Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1228,Proceedings of the 30th International Conference on Intelligent User Interfaces,,2025,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1229,Proceedings of the 2026 ACM Secure Development Conference,,2026,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1230,"Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services",,2023,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1231,Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1233,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1234,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,,2023,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1235,Proceedings of the SIGGRAPH Asia 2025 Conference Papers,,2025,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1236,SIGGRAPH Asia 2024 Conference Papers,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1237,Proceedings of the Fifth International Conference on Distributed Artificial Intelligence,,2023,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1238,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,,2025,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1240,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,,2026,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1241,Proceedings of the ACM Asia Conference on Computer and Communications Security,,2026,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1242,The World Wide Web Conference,,2019,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1243,Proceedings of the Genetic and Evolutionary Computation Conference,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1244,"Proceedings of the 2026 ACM Conference on Fairness, Accountability, and Transparency",,2026,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1245,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1246,Optimal locally private nonparametric classification with public data,Yuheng Ma; Hanfang Yang,2024,,,,"decision tree, local differential privacy, non-parametric classification, posterior drift, public data",ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1247,"Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1248,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",,2023,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1249,Proceedings of the 19th International Conference on the Foundations of Digital Games,,2024,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1250,Proceedings of the 2026 Designing Interactive Systems Conference,,2026,,,,,ACM:F2,,,Uncertain,,,abstract,unavailable,,
P02_1329,"4th Conference on Lifelong Learning Agents, CoLLAs 2025",,2025,,,The proceedings contain 37 papers. The special focus in this conference is on Lifelong Learning Agents. The topics include: BALANCING EXPRESSIVITY AND ROBUSTNESS: CONSTRAINED RATIONAL ACTIVATIONS FOR REINFORCEMENT LEARNING; ON THE HARDNESS OF UNSUPERVISED DOMAIN ADAPTATION: OPTIMAL LEARNERS AND INFORMATION-THEORETIC PERSPECTIVE; LEARNING WITHOUT TIME-BASED EMBODIMENT RESETS IN SOFT-ACTOR CRITIC; COMBINING PRE-TRAINED MODELS FOR ENHANCED FEATURE REPRESENTATION IN REINFORCEMENT LEARNING; ADDRESSING THE DEVASTATING EFFECTS OF SINGLE-TASK DATA POISONING IN EXEMPLAR-FREE CONTINUAL LEARNING; MEMORY STORYBOARD: LEVERAGING TEMPORAL SEGMENTATION FOR STREAMING SELF-SUPERVISED LEARNING FROM EGOCENTRIC VIDEOS; STATISTICAL BIAS LEADS TO OVERESTIMATED OOD GENERALIZATION IN ALGORITHMIC TASKS FOR SEQ2SEQ TRANSFORMERS; MANIFOLD METRIC: A LOSS LANDSCAPE APPROACH FOR PREDICTING MODEL PERFORMANCE; EXTREMELY SIMPLE STREAMING FOREST; BENCHMARKING MOBILE DEVICE CONTROL AGENTS ACROSS DIVERSE CONFIGURATIONS; ADAPT ON-THE-GO: BEHAVIOR MODULATION FOR SINGLE-LIFE ROBOT DEPLOYMENT; QUERY DRIFT COMPENSATION: ENABLING COMPATIBILITY IN CONTINUAL LEARNING OF RETRIEVAL EMBEDDING MODELS; WARMING UP FOR ZEROTH-ORDER FEDERATED PRE-TRAINING WITH LOW RESOURCE CLIENTS; BOWL: A DECEPTIVELY SIMPLE OPEN WORLD LEARNER; RETRIEVAL-AUGMENTED DECISION TRANSFORMER: EXTERNAL MEMORY FOR IN-CONTEXT RL; PRESERVING PLASTICITY IN CONTINUAL LEARNING WITH ADAPTIVE LINEARITY INJECTION; A GOOD START MATTERS: ENHANCING CONTINUAL LEARNING WITH DATA-DRIVEN WEIGHT INITIALIZATION; REVISITING REPLAY AND GRADIENT ALIGNMENT FOR CONTINUAL PRE-TRAINING OF LARGE LANGUAGE MODELS; TEACH YOLO TO REMEMBER: A SELF-DISTILLATION APPROACH FOR CONTINUAL OBJECT DETECTION; REEVALUATING META-LEARNING OPTIMIZATION ALGORITHMS THROUGH CONTEXTUAL SELF-MODULATION; NOPROP: TRAINING NEURAL NETWORKS WITHOUT FULL BACK-PROPAGATION OR FULL FORWARD-PROPAGATION; REPLAY CONSOLIDATION WITH LABEL PROPAGATION FOR CONTINUAL OBJECT DETECTION; PREDICTION-ORIENTED SUBSAMPLING FROM DATA STREAMS; ON SUPERNET TRANSFER LEARNING FOR EFFECTIVE TASK ADAPTATION.,,"Scopus:primary, Scopus:safety",Proceedings of Machine Learning Research,https://www.scopus.com/pages/publications/105039413569?origin=resultslist,Uncertain,,,abstract,unavailable,,
