paper_id,title,authors,year,venue,doi,publication_type,subdomains,formal_framework,mathematical_formalism,key_contribution,methodology,discusses_internal_representations,discusses_schema_coherence,relevance_sigma_trap,relevance_justification,limitations_stated,open_questions,key_equations_definitions,datasets_used,sample_size,effect_sizes,citation_count,evidence_basis,notes
P001,AI Alignment: A Contemporary Survey,Jiaming Ji; Tianyi Qiu; Boyuan Chen; Jiayi Zhou; Borong Zhang; Donghai Hong; Hantao Lou; Kaile Wang; Yawen Duan; Zhonghao He; Lukas Vierling; Zhaowei Zhang; Fanzhi Zeng; Juntao Dai; Xuehai Pan; Hua Xu; Aidan O'Gara; Kwan Ng; Brian Tse; Jie Fu; Stephen Mcaleer; Yanfeng Wang; Mingchuan Yang; Yunhuai Liu; Yizhou Wang; Song-Chun Zhu; Yike Guo; Yaodong Yang; Wen Gao,2025,DOI:10.1145/3770749,10.1145/3770749,review,value alignment,none,none,"P001 is a pilot? no, but let's test flag on unknown field",not_applicable,no,no,3,,no,,,,,,28,metadata,low-evidence: metadata-only
P002,The Multi-Agent Off-Switch Game,Akash Agrawal; Soroush Ebadian; Lewis Hammond,2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/HQQZ1937,theoretical,value alignment; robustness; governance,game theory; decision theory; other,probability; logic; optimization,"Introduces the multi-agent off-switch game, generalizing Hadfield-Menell et al.'s single-agent framework. Shows that individually corrigible agents can become collectively incorrigible under strategic interaction (corrigibility does not compose across agents) and identifies conditions under which group incorrigibility emerges.",not_applicable,no,related concept,3,Directly relevant: frames a safety property (corrigibility) as NON-compositional under multi-agent dynamics - a compositional-failure-meets-alignment-failure result closely analogous to the sigma-trap claim that compositional generalization failure and alignment failure share a mechanism.,no,1. Under what conditions does group incorrigibility emerge? 2. What mechanisms could restore collective corrigibility? 3. Extensions to partially observable or learning agents?,Multi-agent off-switch game form (agent utility over switching); corrigibility composition result (corrigibility is not compositional).,,,,0,full-text,ft_file=The Multi-Agent Off-Switch Game.pdf; pilot=manual-review
P003,Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI: Keynote,Eren Kurshan,2026,Proceedings of the 23rd ACM International Conference on Computing Frontiers,10.1145/3801487.3802805,other,value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none,optimization,,not_applicable,yes,no,3,,yes,,,,,,0,full-text,ft_file=Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI.pdf
P004,The necessary roadblock to artificial general intelligence: corrigibility,Yat Long Lo; Chung Yu Woo; Ka Lok Ng,2019,DOI:10.1145/3362077.3362089,10.1145/3362077.3362089,other,value alignment; robustness; ethics; capabilities,decision theory,optimization,,not_applicable,no,no,4,,yes,,,,,,5,full-text,ft_file=The necessary roadblock to artificial general intelligence: corrigibility.pdf
P005,Incorrigibility in the CIRL Framework,Ryan Carey,2018,"Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278750,position,value alignment; robustness,game theory; decision theory,probability; optimization,,not_applicable,no,no,4,,yes,,,,,,1,full-text,ft_file=Incorrigibility in the CIRL Framework.pdf
P006,"What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety",Ankolika De; Gabriel Lima; Yixin Zou,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3791632,empirical,interpretability; robustness; governance; ethics; capabilities,none,none,,experiment,no,no,2,,no,,,,,,1,full-text,"ft_file=What is Safety? Corporate Discourse, Power, and the Politics of Generative AI Safety.pdf"
P007,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",Travis LaCroix,2026,"Proceedings of the 2026 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3805689.3812420,other,value alignment; interpretability; robustness; governance; ethics; capabilities,game theory,probability; optimization,,not_applicable,no,no,4,,yes,,,,,,0,full-text,"ft_file=Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem.pdf"
P008,Understanding the Process of Human-AI Value Alignment,Jack McKinlay; Marina De Vos; Janina Hoffmann; Andreas Theodorou,2026,DOI:10.1613/jair.1.18846,10.1613/jair.1.18846,review,value alignment; interpretability; governance; ethics; capabilities,none,none,,not_applicable,yes,no,3,,yes,,,,,,0,full-text,ft_file=Understanding the Process of Human AI Value Alignment.pdf
P009,Incomplete Contracting and AI Alignment,Dylan Hadfield-Menell; Gillian K. Hadfield,2019,"Proceedings of the 2019 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314250,other,value alignment; robustness; governance; ethics,none,probability; logic; optimization,,not_applicable,no,no,4,,yes,,,,,,11,full-text,ft_file=Incomplete Contracting and AI Alignment.pdf
P010,Negative Human Rights as a Basis for Long-term AI Safety and Regulation,Ondrej Bajgar; Jan Horenovsky,2023,DOI:10.1613/jair.1.14020,10.1613/jair.1.14020,other,value alignment; interpretability; robustness; governance; ethics; capabilities,none,optimization,,not_applicable,no,no,2,,yes,,,,,,11,full-text,ft_file=Negative Human Rights as a Basis for Long term AI Safety and Regulation.pdf
