study_id,id,title,year,overall,peer_reviewed,code_available,n_seeds_value,task_primary,benchmark_family,arch_family,model_scale_category,train_regime_sigma,baseline_regime,id_acc_mean,ood_acc_mean,id_acc_sd,ood_acc_sd,id_ood_gap,lor,cohens_d,gap_se,outlier,interventional,schema_coherence_measured,repr_analysis,relevance_sigma_trap,relevance_alignment,S0,S1_not_high,S2_low_only,S3_peer_reviewed,S4_code,S5_seeds_ge3
S001,P02_0002,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,2025,HIGH,TRUE,TRUE,,custom,custom,diffusion,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,other,3,1,True,False,False,True,True,False
S002,P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,HIGH,TRUE,FALSE,,custom,custom,,unspecified,not_applicable,other,,0.9342,,,,,,,False,False,FALSE,none,3,1,True,False,False,True,False,False
S003,P02_0004,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,2026,HIGH,TRUE,FALSE,,ImageNet,custom,cnn_family,small,not_applicable,,,0.662,,,,,,,False,False,FALSE,other,3,2,True,False,False,True,False,False
S004,P02_0005,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,2025,HIGH,TRUE,TRUE,,custom,custom,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,True,False
S005,P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,HIGH,TRUE,FALSE,,ImageNet,custom,cnn_family,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,other,2,1,True,False,False,True,False,False
S006,P02_0011,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,2026,HIGH,TRUE,FALSE,,,custom,,,not_applicable,,,,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,False,False
S007,P02_0016,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2026,UNCLEAR,TRUE,TRUE,128,custom,custom,transformer,unspecified,not_applicable,standard_Adam,,,,,,,,,False,False,FALSE,probing,3,2,True,True,False,True,True,True
S008,P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,HIGH,TRUE,FALSE,,custom,custom,gnn,unspecified,not_applicable,,0.9875,0.9546,0.0024,0.0024,0.0329,1.323667552942531,13.708333333333352,0.02359715872727053,False,False,FALSE,none,2,1,True,False,False,True,False,False
S009,P02_0018,Human Heterogeneity Invariant Stress Sensing,2025,HIGH,TRUE,FALSE,,custom,custom,other,unspecified,not_applicable,standard_SGD,0.8371,0.75,,,0.0871,0.5381947333899012,,0.05690901422446184,False,False,FALSE,none,3,2,True,False,False,True,False,False
S010,P02_0021,Causality and Independence Enhancement for Biased Node Classification,2023,HIGH,TRUE,FALSE,10,custom,custom,gnn,unspecified,not_applicable,,0.7834,0.7777,,,0.0057,0.03327806193409414,,0.18508569636792577,False,False,FALSE,none,3,2,True,False,False,True,False,True
S011,P02_0023,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,2021,HIGH,TRUE,FALSE,,custom,custom,,unspecified,not_applicable,,,0.875,,,,,,,False,False,FALSE,none,3,1,True,False,False,True,False,False
S012,P02_0031,Causal Disentangled Recommendation against User Preference Shifts,2023,HIGH,TRUE,FALSE,,custom,custom,mlp,unspecified,not_applicable,other,,,,,,,,,False,False,FALSE,other,2,1,True,False,False,True,False,False
S013,P02_0032,NILMBENCH2026: A Benchmark for Energy Disaggregation,2026,HIGH,TRUE,TRUE,,custom,custom,other,small,not_applicable,,,,,,,,,,False,False,FALSE,none,2,1,True,False,False,True,True,False
S014,P02_0045,,2022,HIGH,TRUE,TRUE,10,custom,custom,rnn_family,unspecified,not_applicable,,0.645,,,,,,,,False,False,FALSE,other,2,1,True,False,False,True,True,True
S015,P02_0055,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,2025,HIGH,TRUE,FALSE,,,custom,,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,False,False
S016,P02_0058,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,2026,HIGH,TRUE,FALSE,,,custom,,,not_applicable,,,,,,,,,,False,False,FALSE,none,1,2,True,False,False,True,False,False
S017,P02_0060,AI Alignment: A Contemporary Survey,2025,HIGH,TRUE,FALSE,,,custom,,,not_applicable,,,,,,,,,,False,False,FALSE,none,2,5,True,False,False,True,False,False
S018,P02_0064,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,HIGH,TRUE,FALSE,,custom,custom,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,other,2,4,True,False,False,True,False,False
