study_id,id,split_id,arch_id,intervention_id,sub_exp_id,title,authors,year,venue,doi,arxiv_id,peer_reviewed,pub_type,pub_type_other,pub_venue_type,task_primary,tasks_secondary,task_custom_name,ood_split_type,ood_difficulty_metric,ood_difficulty_metric_name,arch_primary,arch_family,arch_detail,param_count,n_layers,hidden_dim,model_scale_category,train_n_examples,train_n_tokens,train_data_note,train_regime,train_regime_sigma,train_regime_other,baseline_regime,augmentation_used,augmentation_type,curriculum_used,meta_learning_used,id_acc_mean,id_acc_sd,id_acc_n_seeds,id_acc_n_test,id_acc_ci_lower,id_acc_ci_upper,id_metric_type,id_metric_other,ood_acc_mean,ood_acc_sd,ood_acc_n_seeds,ood_acc_n_test,ood_acc_ci_lower,ood_acc_ci_upper,ood_metric_type,ood_metric_other,id_ood_gap_raw,id_ood_gap_se,id_ood_gap_reported,effect_size_type,effect_size_value,effect_size_se,effect_size_ci_lower,effect_size_ci_upper,effect_size_computed_by_extractor,effect_size_notes,schema_coherence_measured,schema_coherence_proxy,schema_coherence_proxy_other,schema_coherence_value_intervention,schema_coherence_value_baseline,schema_coherence_notes,repr_analysis,repr_analysis_secondary,repr_analysis_finding,repr_analysis_layer,ci_reported,error_bars_reported,n_seeds_reported,n_seeds_value,sig_test_reported,sig_test_type,sig_test_pvalue,multiple_testing_correction,data_leakage_check,code_available,code_url,data_available,data_url,model_weights_available,reproducibility_score,relevance_sigma_trap,relevance_sigma_justification,relevance_alignment,relevance_alignment_justification,limitations_stated,limitations_text,limitations_extractor,open_questions_stated,open_questions_text,open_questions_extractor,other_metrics_reported,extractor_id,notes,experiment_label,task,arch,id_ood_gap,schema_coherence_value
S038,P02_0151,default,default,default,S038_E001,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,S. Addepalli; A. R. Asokan; L. Sharma; R. V. Babu,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52733.2024.02258,2310.08255v2,TRUE,empirical,,conference,PACS,OfficeHome; VLCS; TerraIncognita; DomainNet,,domain_shift,FALSE,,ViT,vit,Student ViT-B/16 ImageNet-1K init; teacher CLIP ViT-B/16 (VLM); VL2V-ADiP align-distill-predict,,,,medium,,,"DomainBed DG benchmarks: OfficeHome, PACS, VLCS, TerraIncognita, DomainNet; 5000 iters (15000 DN), Adam lr 5e-5",other,not_applicable,"black-box VLM distillation (align, distill, predict) + fine-tuning",standard_Adam,FALSE,,FALSE,FALSE,0.7397,,1,,,,accuracy,,0.7548,,1,,,,accuracy,DG benchmark average over leave-one-domain-out,,,,none,,,,,FALSE,Avg-OOD reported across DG benchmarks; per-benchmark in sub_experiments,FALSE,,,,,No schema coherence proxy; representation alignment between VLM and student is measured via distillation losses,none,,,,FALSE,TRUE,FALSE,1,FALSE,,,none,not_addressed,TRUE,http://val.cds.iisc.ac.in/VL2V-ADiP/,TRUE,http://val.cds.iisc.ac.in/VL2V-ADiP/,TRUE,high,3,"Directly measures OOD (domain) generalization gap in image classification and tests an intervention (VLM distillation) that improves OOD accuracy while retaining ID performance; measures one sigma-trap component but does not address flatness, schema coherence, or compositional failure.",2,No explicit alignment framing; robust OOD generalization in a safety-adjacent sense (deployment under distribution shift) but not connected to alignment failure or goal misgeneralization.,TRUE,Assumes black-box access to VLM teacher; gains depend on teacher quality; tested on image classification only; fixed seed 0 for main results with 3 re-runs for a subset.,,FALSE,,,,EX1,"Avg-ID 73.97, Avg-OOD 75.48 (Table 3, fixed seed 0); DG benchmark average",DomainBed average; VL2V-ADiP,PACS,ViT,-0.0151,
S038,P02_0151,default,default,default,S038_E002,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,S. Addepalli; A. R. Asokan; L. Sharma; R. V. Babu,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52733.2024.02258,2310.08255v2,TRUE,empirical,,conference,PACS,OfficeHome; VLCS; TerraIncognita; DomainNet,,domain_shift,FALSE,,ViT,vit,Student ViT-B/16 ImageNet-1K init; teacher CLIP ViT-B/16 (VLM); VL2V-ADiP align-distill-predict,,,,medium,,,"DomainBed DG benchmarks: OfficeHome, PACS, VLCS, TerraIncognita, DomainNet; 5000 iters (15000 DN), Adam lr 5e-5",other,not_applicable,"black-box VLM distillation (align, distill, predict) + fine-tuning",standard_Adam,FALSE,,FALSE,FALSE,,,1,,,,accuracy,,,,1,,,,accuracy,DG benchmark average over leave-one-domain-out,,,,none,,,,,FALSE,Avg-OOD reported across DG benchmarks; per-benchmark in sub_experiments,FALSE,,,,,No schema coherence proxy; representation alignment between VLM and student is measured via distillation losses,none,,,,FALSE,TRUE,FALSE,1,FALSE,,,none,not_addressed,TRUE,http://val.cds.iisc.ac.in/VL2V-ADiP/,TRUE,http://val.cds.iisc.ac.in/VL2V-ADiP/,TRUE,high,3,"Directly measures OOD (domain) generalization gap in image classification and tests an intervention (VLM distillation) that improves OOD accuracy while retaining ID performance; measures one sigma-trap component but does not address flatness, schema coherence, or compositional failure.",2,No explicit alignment framing; robust OOD generalization in a safety-adjacent sense (deployment under distribution shift) but not connected to alignment failure or goal misgeneralization.,TRUE,Assumes black-box access to VLM teacher; gains depend on teacher quality; tested on image classification only; fixed seed 0 for main results with 3 re-runs for a subset.,,FALSE,,,,EX1,OH OOD value present in Table 3 (row value not transcribed in pilot),OfficeHome; VL2V-ADiP,OfficeHome,ViT,,
S038,P02_0151,default,default,default,S038_E003,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,S. Addepalli; A. R. Asokan; L. Sharma; R. V. Babu,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52733.2024.02258,2310.08255v2,TRUE,empirical,,conference,PACS,OfficeHome; VLCS; TerraIncognita; DomainNet,,domain_shift,FALSE,,ViT,vit,Student ViT-B/16 ImageNet-1K init; teacher CLIP ViT-B/16 (VLM); VL2V-ADiP align-distill-predict,,,,medium,,,"DomainBed DG benchmarks: OfficeHome, PACS, VLCS, TerraIncognita, DomainNet; 5000 iters (15000 DN), Adam lr 5e-5",other,not_applicable,"black-box VLM distillation (align, distill, predict) + fine-tuning",standard_Adam,FALSE,,FALSE,FALSE,,,1,,,,accuracy,,,,1,,,,accuracy,DG benchmark average over leave-one-domain-out,,,,none,,,,,FALSE,Avg-OOD reported across DG benchmarks; per-benchmark in sub_experiments,FALSE,,,,,No schema coherence proxy; representation alignment between VLM and student is measured via distillation losses,none,,,,FALSE,TRUE,FALSE,1,FALSE,,,none,not_addressed,TRUE,http://val.cds.iisc.ac.in/VL2V-ADiP/,TRUE,http://val.cds.iisc.ac.in/VL2V-ADiP/,TRUE,high,3,"Directly measures OOD (domain) generalization gap in image classification and tests an intervention (VLM distillation) that improves OOD accuracy while retaining ID performance; measures one sigma-trap component but does not address flatness, schema coherence, or compositional failure.",2,No explicit alignment framing; robust OOD generalization in a safety-adjacent sense (deployment under distribution shift) but not connected to alignment failure or goal misgeneralization.,TRUE,Assumes black-box access to VLM teacher; gains depend on teacher quality; tested on image classification only; fixed seed 0 for main results with 3 re-runs for a subset.,,FALSE,,,,EX1,DN OOD value present in Table 3,DomainNet; VL2V-ADiP,DomainNet,ViT,,
S046,P02_0386,default,default,default,S046_E001,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.7796,0.0236,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 77.96 +/-2.36, 3 rounds; accuracy metric",GraphOOD Motif size; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E002,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.7743,0.0412,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 77.43 +/-4.12, 3 rounds",GraphOOD Motif basis; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E003,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.5217,0.0343,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 52.17 +/-3.43, 3 rounds",GraphOOD CMNIST color; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E004,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.7331,0.0127,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 73.31 +/-1.27, 3 rounds",GraphOOD HIV scaffold; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E005,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.6754,0.0263,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 67.54 +/-2.63, 3 rounds",GraphOOD HIV size; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E006,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.8352,0.0102,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 83.52 +/-1.02, 3 rounds",GraphOOD SST2 length; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E007,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.5933,0.0113,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 59.33 +/-1.13, 3 rounds",GraphOOD Twitter length; E2A,custom,GCN,,
