id,title,year,reason,note
P02_0002,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,2025,FT5,full text unavailable after 3 attempts
P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,FT5,full text unavailable after 3 attempts
P02_0004,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,2026,FT5,full text unavailable after 3 attempts
P02_0005,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,2025,FT5,full text unavailable after 3 attempts
P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,FT5,full text unavailable after 3 attempts
P02_0011,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,2026,FT5,full text unavailable after 3 attempts
P02_0016,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2026,FT5,full text unavailable after 3 attempts
P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,FT5,full text unavailable after 3 attempts
P02_0018,Human Heterogeneity Invariant Stress Sensing,2025,FT5,full text unavailable after 3 attempts
P02_0021,Causality and Independence Enhancement for Biased Node Classification,2023,FT5,full text unavailable after 3 attempts
P02_0023,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,2021,FT5,full text unavailable after 3 attempts
P02_0031,Causal Disentangled Recommendation against User Preference Shifts,2023,FT5,full text unavailable after 3 attempts
P02_0032,NILMBENCH2026: A Benchmark for Energy Disaggregation,2026,FT5,full text unavailable after 3 attempts
P02_0033,Normalized Space Alignment: A Versatile Metric for Representation Analysis,2025,FT5,full text unavailable after 3 attempts
P02_0034,Stereo-Fi: Free-Form 3D Reconstruction via Generatively Co-Trained Inverse RF Rendering,2026,FT5,full text unavailable after 3 attempts
P02_0038,Test Optimization in DNN Testing: A Survey,2024,FT5,full text unavailable after 3 attempts
P02_0045,,2022,FT5,full text unavailable after 3 attempts
P02_0048,Mitigating Distributed Backdoor Attack in Federated Learning Through Mode Connectivity,2024,FT5,full text unavailable after 3 attempts
P02_0051,Responsive DNN Adaptation for Video Analytics against Environment Shift via Hierarchical Mobile-Cloud Collaborations,2025,FT5,full text unavailable after 3 attempts
P02_0054,The Worst of Both Worlds: A Comparative Analysis of Errors in Learning from Data in Psychology and Machine Learning,2022,FT8,conflict: default Include (6.3.3); flagged | adj: Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study | adj: Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study
P02_0055,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,2025,FT5,full text unavailable after 3 attempts
P02_0058,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,2026,FT5,full text unavailable after 3 attempts
P02_0060,AI Alignment: A Contemporary Survey,2025,FT5,full text unavailable after 3 attempts
P02_0064,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,FT5,full text unavailable after 3 attempts
P02_0066,A Survey of Dataset Refinement for Problems in Computer Vision Datasets,2024,FT5,full text unavailable after 3 attempts
P02_0069,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,2023,FT5,full text unavailable after 3 attempts
P02_0071,A Survey of Multilingual Neural Machine Translation,2020,FT5,full text unavailable after 3 attempts
P02_0072,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,2021,FT5,full text unavailable after 3 attempts
P02_0073,Efficient Knowledge Graph Unlearning with Zeroth-order Information,2025,FT5,full text unavailable after 3 attempts
P02_0074,Cacophony: An Improved Contrastive Audio-Text Model,2024,FT5,full text unavailable after 3 attempts
P02_0075,Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data,2024,FT5,full text unavailable after 3 attempts
P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,FT5,full text unavailable after 3 attempts
P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,FT5,full text unavailable after 3 attempts
P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,FT5,full text unavailable after 3 attempts
P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,FT5,full text unavailable after 3 attempts
P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,FT5,full text unavailable after 3 attempts
P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,FT5,full text unavailable after 3 attempts
P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,2025,FT5,full text unavailable after 3 attempts
P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,FT5,full text unavailable after 3 attempts
P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,FT5,full text unavailable after 3 attempts
P02_0124,Handling Out-of-Distribution Data: A Survey,2025,FT5,full text unavailable after 3 attempts
P02_0126,The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,2021,FT5,full text unavailable after 3 attempts
P02_0128,A System-Level Analysis of Cross-Domain Generalization Failure in Audio Deepfake Detection,2026,FT5,full text unavailable after 3 attempts
P02_0136,Defeating Multimodal Information Manipulation By A Web 3.0 Decentralized Identity (DID)-Based Accountability Framework,2025,FT5,full text unavailable after 3 attempts
P02_0138,Utilizing Confidence in Localization Predictions for Improved Spectrum Management,2024,FT5,full text unavailable after 3 attempts
P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,FT5,full text unavailable after 3 attempts
P02_0151,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,2024,FT5,full text unavailable after 3 attempts
P02_0179,General Greedy De-Bias Learning,2023,FT5,full text unavailable after 3 attempts
