study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S001,P02_0154,"Roses are Red, Violets are Blue… But Should VQA expect Them To?",C. Kervadec; G. Antipov; M. Baccouche; C. Wolf,2021,10.1109/cvpr46437.2021.00280,,IEEE:part1,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
S002,P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,"Gan, Y.; Chen, X.; Huang, Q.; Purver, M.",2022,10.18653/v1/2022.findings-naacl.62,,Scopus:safety,Findings of the Association for Computational Linguistics: NAACL 2022 - Findings,https://www.scopus.com/pages/publications/85137321463?origin=resultslist
S003,P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,"Yuan, Z.; Wang, Z.; Pan, Y.; Luo, A.; Li, W.; Wu, X.; Xu, C.",2026,10.1609/aaai.v40i15.38221,,Scopus:safety,Proceedings of the AAAI Conference on Artificial Intelligence,https://www.scopus.com/pages/publications/105034611968?origin=resultslist
S004,P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,"Yin, P.; Fang, H.; Neubig, G.; Pauls, A.; Platanios, E.A.; Su, Y.; Thomson, S.; Andreas, J.",2021,10.18653/v1/2021.naacl-main.225,,Scopus:safety,"NAACL-HLT 2021 - 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference",https://www.scopus.com/pages/publications/85113232545?origin=resultslist
S005,P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,"Zhu, L.; Wang, X.; Zhou, C.; Ye, N.",2023,10.1609/aaai.v37i9.26355,,Scopus:safety,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023",https://www.scopus.com/pages/publications/85168250126?origin=resultslist
S006,P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,Najoung Kim; Tal Linzen,2020,,2010.05465v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2010.05465v1
S007,P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),William Bruns,2025,,2504.15349v3,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2504.15349v3
S008,P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,Bingzhi Li; Lucia Donatelli; Alexander Koller; Tal Linzen; Yuekun Yao; Najoung Kim,2023,,2310.15040v1,arXiv:benchmark,,http://arxiv.org/abs/2310.15040v1
S009,P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,Yu Gai; Paras Jain; Wendi Zhang; Joseph E. Gonzalez; Dawn Song; Ion Stoica,2021,,2111.03642v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2111.03642v1
S010,P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,Sungjun Han; Sebastian Padó,2024,,2403.11834v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2403.11834v1
