id,title,year,source,url,priority,doi,status
P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,openalex,lookup-needed,2,10.1145/3664647.3680969,pending
P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,openalex,lookup-needed,2,10.1145/3702879.3702937,pending
P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,openalex,lookup-needed,2,10.1145/3774904.3792190,pending
P02_0021,Causality and Independence Enhancement for Biased Node Classification,2023,openalex,lookup-needed,2,10.1145/3583780.3614804,pending
P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,openalex,lookup-needed,2,10.1109/icatc68823.2025.11407733,pending
P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,openalex,lookup-needed,2,10.1109/icc51166.2024.10622985,pending
P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,openalex,lookup-needed,2,10.1109/cvpr52688.2022.01626,pending
P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,openalex,lookup-needed,2,10.1109/tcds.2026.3699989,pending
P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,openalex,lookup-needed,2,10.1109/cvpr52734.2025.02383,pending
P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,openalex,lookup-needed,2,10.1109/icassp55912.2026.11461751,pending
P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,2025,openalex,lookup-needed,2,10.1109/tpami.2025.3593897,pending
P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,openalex,lookup-needed,2,10.1109/tai.2026.3666523,pending
P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,openalex,lookup-needed,2,10.1109/tpami.2025.3646483,pending
P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,openalex,lookup-needed,2,10.1109/ccdc69976.2026.11559647,pending
P02_0179,General Greedy De-Bias Learning,2023,openalex,lookup-needed,2,10.1109/tpami.2023.3240337,pending
P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,openalex,lookup-needed,2,10.1016/j.neunet.2022.07.026,pending
P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,openalex,lookup-needed,2,10.1016/j.knosys.2025.114290,pending
P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,openalex,lookup-needed,2,10.3390/agriculture15232494,pending
P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,openalex,lookup-needed,2,10.1016/j.eswa.2024.124472,pending
P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,openalex,lookup-needed,2,10.1145/3770854.3780247,pending
P02_0444,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,2025,openalex,lookup-needed,2,10.3390/s25113303,pending
P02_0493,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,openalex,lookup-needed,2,10.1016/j.engappai.2025.113384,pending
P02_0495,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,openalex,lookup-needed,2,10.1007/s11704-025-50448-3,pending
P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,openalex,lookup-needed,2,10.18653/v1/2022.findings-naacl.62,pending
P02_0500,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,openalex,lookup-needed,2,10.1155/int/9988577,pending
P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,openalex,lookup-needed,2,10.1145/3690624.3709227,pending
P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,openalex,lookup-needed,2,10.1609/aaai.v40i15.38221,pending
P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,openalex,lookup-needed,2,10.18653/v1/2021.naacl-main.225,pending
P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,openalex,lookup-needed,2,10.1609/aaai.v37i9.26355,pending
P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,openalex,lookup-needed,2,10.1007/978-3-032-06106-5_16,pending
P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,openalex,lookup-needed,2,10.1145/3711896.3737002,pending
P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,arxiv,https://arxiv.org/pdf/2010.05465,1,,pending
P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),2025,arxiv,https://arxiv.org/pdf/2504.15349,1,,pending
P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,2023,arxiv,https://arxiv.org/pdf/2310.15040,1,,pending
P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,2021,arxiv,https://arxiv.org/pdf/2111.03642,1,,pending
P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2403.11834,1,,pending
P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,2020,arxiv,https://arxiv.org/pdf/2007.08970,1,,pending
P02_0600,Learning to Substitute Components for Compositional Generalization,2025,arxiv,https://arxiv.org/pdf/2502.20834,1,,pending
P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,2023,arxiv,https://arxiv.org/pdf/2310.12118,1,,pending
P02_0604,On the Compositional Generalization Gap of In-Context Learning,2022,arxiv,https://arxiv.org/pdf/2211.08473,1,,pending
P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,2026,arxiv,https://arxiv.org/pdf/2601.18858,1,,pending
P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,2020,arxiv,https://arxiv.org/pdf/2012.04276,1,,pending
P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,2020,arxiv,https://arxiv.org/pdf/2012.08266,1,,pending
P02_0610,Think before you act: A simple baseline for compositional generalization,2020,arxiv,https://arxiv.org/pdf/2009.13962,1,,pending
P02_0611,How Do In-Context Examples Affect Compositional Generalization?,2023,arxiv,https://arxiv.org/pdf/2305.04835,1,,pending
P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,2020,arxiv,https://arxiv.org/pdf/2010.07792,1,,pending
P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,2021,arxiv,https://arxiv.org/pdf/2104.07478,1,,pending
P02_0614,Compositional Generalization by Learning Analytical Expressions,2020,arxiv,https://arxiv.org/pdf/2006.10627,1,,pending
P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,2021,arxiv,https://arxiv.org/pdf/2108.03509,1,,pending
P02_0616,Data Factors for Better Compositional Generalization,2023,arxiv,https://arxiv.org/pdf/2311.04420,1,,pending
P02_0617,Iterative Decoding for Compositional Generalization in Transformers,2021,arxiv,https://arxiv.org/pdf/2110.04169,1,,pending
P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,2023,arxiv,https://arxiv.org/pdf/2310.14124,1,,pending
P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,2022,arxiv,https://arxiv.org/pdf/2210.12786,1,,pending
P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,2019,arxiv,https://arxiv.org/pdf/1912.09713,1,,pending
P02_0623,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,2022,arxiv,https://arxiv.org/pdf/2201.11766,1,,pending
P02_0624,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,2023,arxiv,https://arxiv.org/pdf/2305.16954,1,,pending
P02_0625,Compositional Generalization via Neural-Symbolic Stack Machines,2020,arxiv,https://arxiv.org/pdf/2008.06662,1,,pending
P02_0627,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,2022,arxiv,https://arxiv.org/pdf/2212.10769,1,,pending
P02_0628,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,2025,arxiv,https://arxiv.org/pdf/2507.18868,1,,pending
P02_0629,Compositional generalization in a deep seq2seq model by separating syntax and semantics,2019,arxiv,https://arxiv.org/pdf/1904.09708,1,,pending
P02_0630,Compositional Generalization and Decomposition in Neural Program Synthesis,2022,arxiv,https://arxiv.org/pdf/2204.03758,1,,pending
P02_0632,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,2021,arxiv,https://arxiv.org/pdf/2107.01366,1,,pending
P02_0633,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,2021,arxiv,https://arxiv.org/pdf/2111.05013,1,,pending
P02_0634,Compositional generalization in semantic parsing with pretrained transformers,2021,arxiv,https://arxiv.org/pdf/2109.15101,1,,pending
P02_0635,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,2019,arxiv,https://arxiv.org/pdf/1905.08527,1,,pending
P02_0640,ReaSCAN: Compositional Reasoning in Language Grounding,2021,arxiv,https://arxiv.org/pdf/2109.08994,1,,pending
P02_0642,Compositional Semantic Parsing with Large Language Models,2022,arxiv,https://arxiv.org/pdf/2209.15003,1,,pending
P02_0643,A Benchmark for Systematic Generalization in Grounded Language Understanding,2020,arxiv,https://arxiv.org/pdf/2003.05161,1,,pending
P02_0648,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,2021,arxiv,https://arxiv.org/pdf/2109.15256,1,,pending
P02_0651,Early-Warning Signals of Grokking via Loss-Landscape Geometry,2026,arxiv,https://arxiv.org/pdf/2602.16967,1,,pending
P02_0654,A Compositional Framework for Open-ended Intelligence,2026,arxiv,https://arxiv.org/pdf/2606.15386,1,,pending
P02_0657,Sequence-Level Mixed Sample Data Augmentation,2020,arxiv,https://arxiv.org/pdf/2011.09039,1,,pending
P02_0691,Invariant Graph Transformer for Out-of-Distribution Generalization,2025,arxiv,https://arxiv.org/pdf/2508.00304,1,,pending
P02_0693,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,2024,arxiv,https://arxiv.org/pdf/2403.15210,1,,pending
P02_0702,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,2024,arxiv,https://arxiv.org/pdf/2412.14474,1,,pending
P02_0703,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,2023,arxiv,https://arxiv.org/pdf/2304.13424,1,,pending
P02_0708,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,2026,arxiv,https://arxiv.org/pdf/2606.12217,1,,pending
P02_0712,Low-rank Orthogonal Subspace Intervention for Generalizable Face Forgery Detection,2026,arxiv,https://arxiv.org/pdf/2601.11915,1,,pending
P02_0719,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,2025,arxiv,https://arxiv.org/pdf/2502.05454,1,,pending
P02_0724,General Greedy De-bias Learning,2021,arxiv,https://arxiv.org/pdf/2112.10572,1,,pending
P02_0746,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,arxiv,https://arxiv.org/pdf/2604.23001,1,,pending
P02_0753,Evaluating Reward Model Generalization via Pairwise Maximum Discrepancy Competitions,2026,arxiv,https://arxiv.org/pdf/2601.16987,1,,pending
P02_0768,Neural Language of Thought Models,2024,arxiv,https://arxiv.org/pdf/2402.01203,1,,pending
P02_0769,GA-Field: Geometry-Aware Vehicle Aerodynamic Field Prediction,2026,arxiv,https://arxiv.org/pdf/2602.20609,1,,pending
P02_0773,Robust OOD Graph Learning via Mean Constraints and Noise Reduction,2025,arxiv,https://arxiv.org/pdf/2506.19281,1,,pending
P02_0783,Improving Latent Generalization Using Test-time Compute,2026,arxiv,https://arxiv.org/pdf/2604.01430,1,,pending
P02_0789,Frequency Bias and OOD Generalization in Neural Operators under a Variable-Coefficient Wave Equation,2026,arxiv,https://arxiv.org/pdf/2605.12997,1,,pending
P02_0791,SynthDocBench: Controlled Benchmark for Long-Context Visual Document Understanding,2026,arxiv,https://arxiv.org/pdf/2607.10400,1,,pending
P02_0810,Compositional Generalization via Semantic Tagging,2020,arxiv,https://arxiv.org/pdf/2010.11818,1,,pending
P02_0811,Systematic Generalization with Edge Transformers,2021,arxiv,https://arxiv.org/pdf/2112.00578,1,,pending
P02_0812,Compositional Generalization from First Principles,2023,arxiv,https://arxiv.org/pdf/2307.05596,1,,pending
P02_0813,Improving Compositional Generalization in Semantic Parsing,2020,arxiv,https://arxiv.org/pdf/2010.05647,1,,pending
P02_0819,Scalable Evaluation and Neural Models for Compositional Generalization,2025,arxiv,https://arxiv.org/pdf/2511.02667,1,,pending
P02_0821,Improving Compositional Generalization in Classification Tasks via Structure Annotations,2021,arxiv,https://arxiv.org/pdf/2106.10434,1,,pending
P02_0822,Compositional Generalization with Tree Stack Memory Units,2019,arxiv,https://arxiv.org/pdf/1911.01545,1,,pending
P02_0823,Reinforcement Learning for Compositional Generalization with Outcome-Level Optimization,2026,arxiv,https://arxiv.org/pdf/2605.04920,1,,pending
P02_0824,Provable Compositional Generalization for Object-Centric Learning,2023,arxiv,https://arxiv.org/pdf/2310.05327,1,,pending
P02_0826,Disentangled Sequence to Sequence Learning for Compositional Generalization,2021,arxiv,https://arxiv.org/pdf/2110.04655,1,,pending
P02_0827,"Concepts, Properties and an Approach for Compositional Generalization",2021,arxiv,https://arxiv.org/pdf/2102.04225,1,,pending
P02_0828,Consistency of Compositional Generalization across Multiple Levels,2024,arxiv,https://arxiv.org/pdf/2412.13636,1,,pending
