id,doi,arxiv_id,title,year,journal,url,reason,attempts
P02_0003,10.1145/3664647.3680969,,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,Proceedings of the 32nd ACM International Conference on Multimedia,https://doi.org/10.1145/3664647.3680969,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0007,10.1145/3702879.3702937,,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,Proceedings of the 2024 2nd International Conference on Internet of Things and Cloud Computing Technology,https://doi.org/10.1145/3702879.3702937,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0017,10.1145/3774904.3792190,,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,Proceedings of the ACM Web Conference 2026,https://doi.org/10.1145/3774904.3792190,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0021,10.1145/3583780.3614804,,Causality and Independence Enhancement for Biased Node Classification,2023,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,https://doi.org/10.1145/3583780.3614804,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0081,10.1109/icatc68823.2025.11407733,,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,2025 International Conference on Advances in Technology and Computing (ICATC),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0082,10.1109/icc51166.2024.10622985,,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,ICC 2024 - IEEE International Conference on Communications,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0087,10.1109/cvpr52688.2022.01626,,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0088,10.1109/tcds.2026.3699989,,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,IEEE Transactions on Cognitive and Developmental Systems,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0092,10.1109/cvpr52734.2025.02383,,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0093,10.1109/icassp55912.2026.11461751,,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0096,10.1109/tpami.2025.3593897,,Out-of-Distribution Generalization on Graphs: A Survey,2025,IEEE Transactions on Pattern Analysis and Machine Intelligence,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0110,10.1109/tai.2026.3666523,,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,IEEE Transactions on Artificial Intelligence,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0116,10.1109/tpami.2025.3646483,,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0150,10.1109/ccdc69976.2026.11559647,,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,2026 38th Chinese Control and Decision Conference (CCDC),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0179,10.1109/tpami.2023.3240337,,General Greedy De-Bias Learning,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0238,10.1016/j.neunet.2022.07.026,,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,Neural Networks,https://www.scopus.com/pages/publications/85138443531?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0280,10.1016/j.knosys.2025.114290,,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,Knowledge-Based Systems,https://www.scopus.com/pages/publications/105013996842?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0290,10.3390/agriculture15232494,,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,Agriculture (Switzerland),https://www.scopus.com/pages/publications/105024609139?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0322,10.1016/j.eswa.2024.124472,,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,Expert Systems with Applications,https://www.scopus.com/pages/publications/85196423777?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0410,10.1145/3770854.3780247,,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,https://www.scopus.com/pages/publications/105038093712?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0444,10.3390/s25113303,,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,2025,Sensors,https://www.scopus.com/pages/publications/105007652360?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0493,10.1016/j.engappai.2025.113384,,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,Engineering Applications of Artificial Intelligence,https://www.scopus.com/pages/publications/105023827687?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0495,10.1007/s11704-025-50448-3,,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,Frontiers of Computer Science,https://www.scopus.com/pages/publications/105020260197?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0500,10.1155/int/9988577,,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,International Journal of Intelligent Systems,https://www.scopus.com/pages/publications/105008447710?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0503,10.1145/3690624.3709227,,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,https://www.scopus.com/pages/publications/105014319311?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0556,10.1007/978-3-032-06106-5_16,,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,Lecture Notes in Computer Science,https://www.scopus.com/pages/publications/105020019263?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0576,10.1145/3711896.3737002,,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,https://www.scopus.com/pages/publications/105014587407?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0944,,2111.14034v1,ORCHARD: A Benchmark For Measuring Systematic Generalization of Multi-Hierarchical Reasoning,2021,,http://arxiv.org/abs/2111.14034v1,download-failed,arxiv:fail
P02_1308,,,Vision Transformer Neural Architecture Search for Out-of-Distribution Generalization: Benchmark and Insights,2024,Advances in Neural Information Processing Systems,https://www.scopus.com/pages/publications/105000546063?origin=resultslist,no-identifier,
P02_1381,,,Sparse Mixture-of-Experts for Compositional Generalization: Empirical Evidence and Theoretical Foundations of Optimal Sparsity,2026,Proceedings of Machine Learning Research,https://www.scopus.com/pages/publications/105039559541?origin=resultslist,no-identifier,
P02_1395,,,Compositional generalization by factorizing alignment and translation,2020,Proceedings of the Annual Meeting of the Association for Computational Linguistics,https://www.scopus.com/pages/publications/85101107244?origin=resultslist,no-identifier,
P02_1398,,,Neural Collapse Inspired Feature Alignment for Out-of-Distribution Generalization,2024,Advances in Neural Information Processing Systems,https://www.scopus.com/pages/publications/105000520399?origin=resultslist,no-identifier,
P02_0002,10.1145/3696410.3714849,,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,2025,Proceedings of the ACM on Web Conference 2025,https://doi.org/10.1145/3696410.3714849,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0004,10.1145/3795154.3795263,,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,2026,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,https://doi.org/10.1145/3795154.3795263,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0005,10.1145/3768153,,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,2025,,https://doi.org/10.1145/3768153,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0011,10.65109/ldhn8550,,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://doi.org/10.65109/LDHN8550,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0016,10.65109/pper9186,,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://doi.org/10.65109/PPER9186,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0018,10.1145/3749465,,Human Heterogeneity Invariant Stress Sensing,2025,,https://doi.org/10.1145/3749465,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0023,10.1145/3447548.3467324,,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,2021,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,https://doi.org/10.1145/3447548.3467324,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0031,10.1145/3593022,,Causal Disentangled Recommendation against User Preference Shifts,2023,,https://doi.org/10.1145/3593022,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0032,10.1145/3744256.3812587,,NILMBENCH2026: A Benchmark for Energy Disaggregation,2026,"Proceedings of the 13th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",https://doi.org/10.1145/3744256.3812587,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0033,10.1145/3711896.3737065,,Normalized Space Alignment: A Versatile Metric for Representation Analysis,2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,https://doi.org/10.1145/3711896.3737065,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0034,10.1145/3774906.3802762,,Stereo-Fi: Free-Form 3D Reconstruction via Generatively Co-Trained Inverse RF Rendering,2026,Proceedings of the 2026 ACM/IEEE International Conference on Embedded Artificial Intelligence and Sensing Systems,https://doi.org/10.1145/3774906.3802762,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0038,10.1145/3643678,,Test Optimization in DNN Testing: A Survey,2024,,https://doi.org/10.1145/3643678,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0045,10.1145/3530911,,,2022,,https://doi.org/10.1145/3530911,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0048,10.1145/3634737.3637682,,Mitigating Distributed Backdoor Attack in Federated Learning Through Mode Connectivity,2024,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,https://doi.org/10.1145/3634737.3637682,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0051,10.1145/3715014.3722044,,Responsive DNN Adaptation for Video Analytics against Environment Shift via Hierarchical Mobile-Cloud Collaborations,2025,Proceedings of the 23rd ACM Conference on Embedded Networked Sensor Systems,https://doi.org/10.1145/3715014.3722044,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0055,10.1145/3665926,,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,2025,,https://doi.org/10.1145/3665926,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0058,10.1145/3789456.3789473,,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,2026,Proceedings of the 2025 15th International Conference on Communication and Network Security,https://doi.org/10.1145/3789456.3789473,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0060,10.1145/3770749,,AI Alignment: A Contemporary Survey,2025,,https://doi.org/10.1145/3770749,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0064,10.1145/3706598.3713406,,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3706598.3713406,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0066,10.1145/3627157,,A Survey of Dataset Refinement for Problems in Computer Vision Datasets,2024,,https://doi.org/10.1145/3627157,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0069,10.1145/3581783.3611904,,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,2023,Proceedings of the 31st ACM International Conference on Multimedia,https://doi.org/10.1145/3581783.3611904,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0071,10.1145/3406095,,A Survey of Multilingual Neural Machine Translation,2020,,https://doi.org/10.1145/3406095,paywalled,openalex:no-oa; unpaywall:no-oa
