id,title,year,doi,arxiv_id,url,decision,status,attempts,pdf_path
P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,2024,10.1145/3664647.3680969,,https://doi.org/10.1145/3664647.3680969,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,2024,10.1145/3702879.3702937,,https://doi.org/10.1145/3702879.3702937,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,2026,10.1145/3774904.3792190,,https://doi.org/10.1145/3774904.3792190,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0021,Causality and Independence Enhancement for Biased Node Classification,2023,10.1145/3583780.3614804,,https://doi.org/10.1145/3583780.3614804,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,10.1109/icatc68823.2025.11407733,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,10.1109/icc51166.2024.10622985,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,10.1109/cvpr52688.2022.01626,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,10.1109/tcds.2026.3699989,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,10.1109/cvpr52734.2025.02383,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,10.1109/icassp55912.2026.11461751,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,2025,10.1109/tpami.2025.3593897,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,10.1109/tai.2026.3666523,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,10.1109/tpami.2025.3646483,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,10.1109/ccdc69976.2026.11559647,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0179,General Greedy De-Bias Learning,2023,10.1109/tpami.2023.3240337,,,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,10.1016/j.neunet.2022.07.026,,https://www.scopus.com/pages/publications/85138443531?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,10.1016/j.knosys.2025.114290,,https://www.scopus.com/pages/publications/105013996842?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,10.3390/agriculture15232494,,https://www.scopus.com/pages/publications/105024609139?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,10.1016/j.eswa.2024.124472,,https://www.scopus.com/pages/publications/85196423777?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,10.1145/3770854.3780247,,https://www.scopus.com/pages/publications/105038093712?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0444,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,2025,10.3390/s25113303,,https://www.scopus.com/pages/publications/105007652360?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0493,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,10.1016/j.engappai.2025.113384,,https://www.scopus.com/pages/publications/105023827687?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0495,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,10.1007/s11704-025-50448-3,,https://www.scopus.com/pages/publications/105020260197?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,10.18653/v1/2022.findings-naacl.62,,https://www.scopus.com/pages/publications/85137321463?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0497_Gan_2022.pdf
P02_0500,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,10.1155/int/9988577,,https://www.scopus.com/pages/publications/105008447710?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,10.1145/3690624.3709227,,https://www.scopus.com/pages/publications/105014319311?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,10.1609/aaai.v40i15.38221,,https://www.scopus.com/pages/publications/105034611968?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0507_Yuan_2026.pdf
P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,10.18653/v1/2021.naacl-main.225,,https://www.scopus.com/pages/publications/85113232545?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0510_Yin_2021.pdf
P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,10.1609/aaai.v37i9.26355,,https://www.scopus.com/pages/publications/85168250126?origin=resultslist,Include,retrieved-oa,openalex:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0542_Zhu_2023.pdf
P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,10.1007/978-3-032-06106-5_16,,https://www.scopus.com/pages/publications/105020019263?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,10.1145/3711896.3737002,,https://www.scopus.com/pages/publications/105014587407?origin=resultslist,Include,unavailable,openalex:no-oa; unpaywall:no-oa,
P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,,2010.05465v1,http://arxiv.org/abs/2010.05465v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0594_Kim_2020.pdf
P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),2025,,2504.15349v3,http://arxiv.org/abs/2504.15349v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0595_Bruns_2025.pdf
