id,title,authors,year,doi,arxiv_id,abstract,keywords,source_db,journal,url,decision,reason_code,notes,stage
P02_0001,Optimal Transport-Driven Federated Out-of-Distribution Detection in Heterogeneous Data,Yuan He; Yingchun Cui; Zhengda Wu; Heran Xi; Jinghua Zhu,2025,10.1145/3731715.3733410,,,"federated learning, optimal transport theory, out-of-distribution detection","ACM:F2, Scopus:primary",Proceedings of the 2025 International Conference on Multimedia Retrieval,https://doi.org/10.1145/3731715.3733410,Exclude,E2,,title-excluded
P02_0002,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,Chu Zhao; Enneng Yang; Yuliang Liang; Pengxiang Lan; Yuting Liu; Jianzhe Zhao; Guibing Guo; Xingwei Wang,2025,10.1145/3696410.3714849,,,"distributionally robust optimization, graph recommendation, out-of-distribution",ACM:F2,Proceedings of the ACM on Web Conference 2025,https://doi.org/10.1145/3696410.3714849,Uncertain,,,abstract
P02_0003,SFP: Spurious Feature-Targeted Pruning for Out-of-Distribution Generalization,Yingchun Wang; Jingcai Guo; Song Guo; Yi Liu; Jie Zhang; Weizhan Zhang,2024,10.1145/3664647.3680969,,,"deep neural network, model pruning, module detection, out-of-distribution generalization",ACM:F2,Proceedings of the 32nd ACM International Conference on Multimedia,https://doi.org/10.1145/3664647.3680969,Include,,,abstract
P02_0004,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,Xiaodong Wang; Ling Jiang,2026,10.1145/3795154.3795263,,,"Causal robustness, Counterfactual augmentation, Deep classification, Out-of-distribution generalization",ACM:F2,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,https://doi.org/10.1145/3795154.3795263,Uncertain,,,abstract
P02_0005,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,Yu-An Liu; Ruqing Zhang; Jiafeng Guo; Maarten de Rijke; Yixing Fan; Xueqi Cheng,2025,10.1145/3768153,,,"Robustness, trustworthy systems",ACM:F2,,https://doi.org/10.1145/3768153,Uncertain,,,abstract
P02_0006,Enhancing Transformers without Self-supervised Learning: A Loss Landscape Perspective in Sequential Recommendation,Vivian Lai; Huiyuan Chen; Chin-Chia Michael Yeh; Minghua Xu; Yiwei Cai; Hao Yang,2023,10.1145/3604915.3608831,,,"Loss Landscape, Sequential Recommendation, Sharpness-aware Minimization, Transformer","ACM:F2, Scopus:primary, WoS:primary",Proceedings of the 17th ACM Conference on Recommender Systems,https://doi.org/10.1145/3604915.3608831,Exclude,E2,,title-excluded
P02_0007,Feature-granularity-based spurious correlation and causal analysis in CNNs Exploring Feature Granularity to Uncover Spurious Correlations,Xiaodong Wang; Gaiqun Zhang,2024,10.1145/3702879.3702937,,,"Causal reasoning, Convolutional Neural Networks, interpretability, spurious correlations",ACM:F2,Proceedings of the 2024 2nd International Conference on Internet of Things and Cloud Computing Technology,https://doi.org/10.1145/3702879.3702937,Include,,,abstract
P02_0008,"Probabilistic Runtime Verification, Evaluation, and Risk Assessment of Visual Deep Learning Systems",Birk Torpmann-Hagen; Pål Halvorsen; Michael A. Riegler; Dag Johansen,2026,10.1145/3795523,,,"Deep learning, Probabilistic Risk Assessment, Runtime Verification, Event Tree Analysis",ACM:F2,,https://doi.org/10.1145/3795523,Exclude,E2,,title-excluded
P02_0009,Applying Adaptive Sharpness-Aware Minimization to Improve Out-of-distribution Generalization,Hoang-Chau Luong; Minh-Triet Tran,2023,10.1145/3628797.3629009,,,"OoD generalization, flat minima, image classification, sharpness-aware minimization","ACM:F2, Scopus:primary",Proceedings of the 12th International Symposium on Information and Communication Technology,https://doi.org/10.1145/3628797.3629009,Exclude,E2,,title-excluded
P02_0010,Text2Weight: Bridging Natural Language and Neural Network Weight Spaces,Bowen Tian; Wenshuo Chen; Zexi Li; Songning Lai; Jiemin Wu; Yutao Yue,2025,10.1145/3746027.3755441,,,"deep weight space, multimodal, text2weight",ACM:F2,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3755441,Exclude,E2,,title-excluded
P02_0011,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,Nathan Gavenski; Felipe Meneguzzi; Odinaldo Rodrigues,2026,10.65109/ldhn8550,,,"{imitation learning, generalisation, compositional learning",ACM:F2,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://doi.org/10.65109/LDHN8550,Uncertain,,,abstract
